Altitude,area_per_square,Area_m2,Total_Surface_aream2,WaterLevel_m
4250.9,,,2126.056933,0
4251,,,2344.356114,0.1
4251.1,,,2556.435384,0.2
4251.2,,,2767.348717,0.3
4251.3,,,2965.468545,0.4
4251.4,,,3157.823045,0.5
4251.5,,,3345.36256,0.6
4251.6,,,3526.066828,0.7
4251.7,,,3697.986376,0.8
4251.8,,,3869.03091,0.9
4251.9,,,4023.714916,1
4252,,,4167.070674,1.1
4252.1,,,4306.429758,1.2
4252.2,,,4442.744947,1.3
4252.3,,,4573.583781,1.4
4252.4,,,4702.844961,1.5
4252.5,,,4823.48641,1.6
4252.6,,,4940.698362,1.7
4252.7,,,5051.711106,1.8
4252.8,,,5154.293241,1.9
4252.9,,,5252.641622,2
4253,,,5348.45586,2.1
