Min of_Band_1,Max of_Band_1,Label,Count,Area_m2,Area_m2,Total_Surface_aream2,Depth_m,WaterLevel_m
"3,992.80","3,992.83","3,992.8-3,992.83","1,235",0.001898345,2.344455951,2.344455951,0,0
"3,992.83","3,992.87","3,992.83-3,992.87","1,849",0.001898345,3.51003972,5.854495671,0.03,0.03
"3,992.87","3,992.90","3,992.87-3,992.9","2,922",0.001898345,5.546963798,11.40145947,0.07,0.07
"3,992.90","3,992.93","3,992.9-3,992.93","4,020",0.001898345,7.631346498,19.03280597,0.1,0.1
"3,992.93","3,992.96","3,992.93-3,992.96","3,693",0.001898345,7.010587716,26.04339368,0.13,0.13
"3,992.96","3,992.99","3,992.96-3,992.99","2,322",0.001898345,4.407956858,30.45135054,0.16,0.16
"3,992.99","3,993.02","3,992.99-3,993.02","2,735",0.001898345,5.191973301,35.64332384,0.19,0.19
"3,993.02","3,993.05","3,993.02-3,993.05","2,288",0.001898345,4.343413131,39.98673697,0.22,0.22
"3,993.05","3,993.08","3,993.05-3,993.08","2,037",0.001898345,3.866928561,43.85366553,0.25,0.25
"3,993.08","3,993.12","3,993.08-3,993.12","2,072",0.001898345,3.933370633,47.78703617,0.28,0.28
"3,993.12","3,993.15","3,993.12-3,993.15","2,069",0.001898345,3.927675598,51.71471176,0.32,0.32
"3,993.15","3,993.18","3,993.15-3,993.18","1,848",0.001898345,3.508141375,55.22285314,0.35,0.35
"3,993.18","3,993.21","3,993.18-3,993.21","1,944",0.001898345,3.690382486,58.91323563,0.38,0.38
"3,993.21","3,993.24","3,993.21-3,993.24","1,688",0.001898345,3.204406191,62.11764182,0.41,0.41
"3,993.24","3,993.27","3,993.24-3,993.27","1,725",0.001898345,3.274644952,65.39228677,0.44,0.44
"3,993.27","3,993.30","3,993.27-3,993.3","1,715",0.001898345,3.255661503,68.64794827,0.47,0.47
"3,993.30","3,993.33","3,993.3-3,993.33","1,974",0.001898345,3.747332833,72.39528111,0.5,0.5
"3,993.33","3,993.36","3,993.33-3,993.36","1,810",0.001898345,3.436004269,75.83128537,0.53,0.53
"3,993.36","3,993.40","3,993.36-3,993.4","1,853",0.001898345,3.5176331,79.34891847,0.56,0.56
"3,993.40","3,993.43","3,993.4-3,993.43","1,710",0.001898345,3.246169779,82.59508825,0.6,0.6
"3,993.43","3,993.46","3,993.43-3,993.46","1,701",0.001898345,3.229084675,85.82417293,0.63,0.63
"3,993.46","3,993.49","3,993.46-3,993.49","1,718",0.001898345,3.261356538,89.08552947,0.66,0.66
"3,993.49","3,993.52","3,993.49-3,993.52","1,329",0.001898345,2.522900372,91.60842984,0.69,0.69
"3,993.52","3,993.55","3,993.52-3,993.55","1,505",0.001898345,2.857009074,94.46543891,0.72,0.72
"3,993.55","3,993.58","3,993.55-3,993.58","1,337",0.001898345,2.538087131,97.00352604,0.75,0.75
"3,993.58","3,993.61","3,993.58-3,993.61","1,269",0.001898345,2.408999678,99.41252572,0.78,0.78
"3,993.61","3,993.64","3,993.61-3,993.64","1,185",0.001898345,2.249538706,101.6620644,0.81,0.81
"3,993.64","3,993.68","3,993.64-3,993.68",964,0.001898345,1.830004484,103.4920689,0.84,0.84
"3,993.68","3,993.71","3,993.68-3,993.71",844,0.001898345,1.602203096,105.094272,0.88,0.88
"3,993.71","3,993.74","3,993.71-3,993.74","1,027",0.001898345,1.949600212,107.0438722,0.91,0.91
"3,993.74","3,993.77","3,993.74-3,993.77",849,0.001898345,1.61169482,108.655567,0.94,0.94
"3,993.77","3,993.80","3,993.77-3,993.8",787,0.001898345,1.493997436,110.1495645,0.97,0.97
"3,993.80","3,993.83","3,993.8-3,993.83",514,0.001898345,0.975749279,111.1253138,1,1
"3,993.83","3,993.86","3,993.83-3,993.86",517,0.001898345,0.981444313,112.1067581,1.03,1.03
"3,993.86","3,993.89","3,993.86-3,993.89",452,0.001898345,0.858051895,112.96481,1.06,1.06
"3,993.89","3,993.93","3,993.89-3,993.93",591,0.001898345,1.121921836,114.0867318,1.09,1.09
"3,993.93","3,993.96","3,993.93-3,993.96",428,0.001898345,0.812491617,114.8992234,1.13,1.13
"3,993.96","3,993.99","3,993.96-3,993.99",229,0.001898345,0.434720982,115.3339444,1.16,1.16
"3,993.99","3,994.02","3,993.99-3,994.02",293,0.001898345,0.556215056,115.8901595,1.19,1.19
"3,994.02","3,994.05","3,994.02-3,994.05",287,0.001898345,0.544824986,116.4349844,1.22,1.22
"3,994.05","3,994.08","3,994.05-3,994.08",352,0.001898345,0.668217405,117.1032018,1.25,1.25
"3,994.08","3,994.11","3,994.08-3,994.11",160,0.001898345,0.303735184,117.406937,1.28,1.28
"3,994.11","3,994.14","3,994.11-3,994.14",154,0.001898345,0.292345115,117.6992821,1.31,1.31
"3,994.14","3,994.17","3,994.14-3,994.17",85,0.001898345,0.161359316,117.8606415,1.34,1.34
"3,994.17","3,994.21","3,994.17-3,994.21",107,0.001898345,0.203122904,118.0637644,1.37,1.37
"3,994.21","3,994.24","3,994.21-3,994.24",82,0.001898345,0.155664282,118.2194286,1.41,1.41
"3,994.24","3,994.27","3,994.24-3,994.27",69,0.001898345,0.130985798,118.3504144,1.44,1.44
"3,994.27","3,994.30","3,994.27-3,994.3",87,0.001898345,0.165156006,118.5155704,1.47,1.47
"3,994.30","3,994.33","3,994.3-3,994.33",169,0.001898345,0.320820288,118.8363907,1.5,1.5
"3,994.33","3,994.36","3,994.33-3,994.36",74,0.001898345,0.140477523,118.9768683,1.53,1.53
"3,994.36","3,994.39","3,994.36-3,994.39",100,0.001898345,0.18983449,119.1667028,1.56,1.56
"3,994.39","3,994.42","3,994.39-3,994.42",154,0.001898345,0.292345115,119.4590479,1.59,1.59
"3,994.42","3,994.45","3,994.42-3,994.45",39,0.001898345,0.074035451,119.5330833,1.62,1.62
"3,994.45","3,994.49","3,994.45-3,994.49",50,0.001898345,0.094917245,119.6280006,1.65,1.65
"3,994.49","3,994.52","3,994.49-3,994.52",12,0.001898345,0.022780139,119.6507807,1.69,1.69
"3,994.52","3,994.55","3,994.52-3,994.55",0,0.001898345,0,119.6507807,1.72,1.72
"3,994.55","3,994.58","3,994.55-3,994.58",25,0.001898345,0.047458622,119.6982393,1.75,1.75
"3,994.58","3,994.61","3,994.58-3,994.61",21,0.001898345,0.039865243,119.7381046,1.78,1.78
"3,994.61","3,994.64","3,994.61-3,994.64",16,0.001898345,0.030373518,119.7684781,1.81,1.81
"3,994.64","3,994.67","3,994.64-3,994.67",9,0.001898345,0.017085104,119.7855632,1.84,1.84
"3,994.67","3,994.70","3,994.67-3,994.7",0,0.001898345,0,119.7855632,1.87,1.87
"3,994.70","3,994.74","3,994.7-3,994.74",5,0.001898345,0.009491724,119.7950549,1.9,1.9
"3,994.74","3,994.77","3,994.74-3,994.77",9,0.001898345,0.017085104,119.81214,1.94,1.94
"3,994.77","3,994.80","3,994.77-3,994.8",8,0.001898345,0.015186759,119.8273268,1.97,1.97
