Min of_Band_1,Max of_Band_1,Label,Count
"3,997.31","3,997.36","3,997.31-3,997.36",21
"3,997.36","3,997.41","3,997.36-3,997.41",262
"3,997.41","3,997.45","3,997.41-3,997.45",953
"3,997.45","3,997.5","3,997.45-3,997.5","1,830"
"3,997.5","3,997.54","3,997.5-3,997.54","4,077"
"3,997.54","3,997.59","3,997.54-3,997.59","13,362"
"3,997.59","3,997.64","3,997.59-3,997.64","8,464"
"3,997.64","3,997.68","3,997.64-3,997.68","4,748"
"3,997.68","3,997.73","3,997.68-3,997.73","11,420"
"3,997.73","3,997.77","3,997.73-3,997.77","9,258"
"3,997.77","3,997.82","3,997.77-3,997.82","6,270"
"3,997.82","3,997.86","3,997.82-3,997.86","4,774"
"3,997.86","3,997.91","3,997.86-3,997.91","3,413"
"3,997.91","3,997.96","3,997.91-3,997.96","3,681"
"3,997.96","3,998","3,997.96-3,998","3,264"
"3,998","3,998.05","3,998-3,998.05","3,423"
"3,998.05","3,998.09","3,998.05-3,998.09","3,034"
"3,998.09","3,998.14","3,998.09-3,998.14","2,757"
"3,998.14","3,998.19","3,998.14-3,998.19","2,864"
"3,998.19","3,998.23","3,998.19-3,998.23","2,484"
"3,998.23","3,998.28","3,998.23-3,998.28","2,328"
"3,998.28","3,998.32","3,998.28-3,998.32","1,406"
"3,998.32","3,998.37","3,998.32-3,998.37","1,281"
"3,998.37","3,998.41","3,998.37-3,998.41",551
"3,998.41","3,998.46","3,998.41-3,998.46",337
"3,998.46","3,998.51","3,998.46-3,998.51",138
"3,998.51","3,998.55","3,998.51-3,998.55",68
"3,998.55","3,998.6","3,998.55-3,998.6",90
"3,998.6","3,998.64","3,998.6-3,998.64",86
"3,998.64","3,998.69","3,998.64-3,998.69",27
"3,998.69","3,998.73","3,998.69-3,998.73",47
"3,998.73","3,998.78","3,998.73-3,998.78",39
