Wetland,Date,Time,WL,Area
wetland_1,6/16/22,10:57,0.3515263,5357
wetland_1,6/28/22,11:02,0.4029622,5223.27
wetland_1,11/1/22,9:12,0.3195369,5378
wetland_1,11/23/22,13:15,0.3432051,5385
wetland_1,1/28/23,14:50,0.3418183,5298.59
wetland_2,6/16/22,11:26,0.1217371,3520
wetland_2,6/28/22,11:31,0.3731754,4549
wetland_2,11/1/22,9:25,0.3635898,4197
wetland_2,11/23/22,13:30,0.2585868,3917
wetland_2,1/28/23,15:12,-0.002006347,2691.78
wetland_2,2/18/23,14:00,-0.08755524,0
wetland_3,6/16/22,12:05,0.1519215,810
wetland_3,6/28/22,11:44,0.1774865,824.59
wetland_3,11/1/22,9:40,0.1211456,850
wetland_3,11/23/22,13:36,0.1438655,877
wetland_3,1/28/23,15:20,0.1458336,842.93
wetland_4,6/16/22,12:27,0.4121297,463
wetland_4,6/29/22,9:03,0.4424874,592
wetland_4,7/12/22,10:17,0.4639531,603
wetland_4,11/1/22,10:25,0.1807905,27
wetland_4,11/23/22,14:15,0.2699263,268
wetland_4,1/28/23,13:50,0.2348471,121.76
wetland_4,2/18/23,14:00,0.06391757,0
wetland_5,6/16/22,13:24,0.4672774,612
wetland_5,6/28/22,10:22,0.4876723,596.67
wetland_5,7/12/22,10:17,0.4980227,603.12
wetland_5,9/27/22,13:55,0.4187172,489.99
wetland_5,10/26/22,12:30,0.4411618,571
wetland_5,11/1/22,10:45,0.4281294,529
wetland_5,11/20/22,10:18,0.4283538,558
wetland_6,6/16/22,14:05,0.2698855,237
wetland_6,7/11/22,10:07,0.3999233,250.84
wetland_6,9/23/22,13:17,0.2664082,250.59
wetland_6,10/26/22,13:05,0.1920077,184.1
wetland_6,11/20/22,10:51,0.1044014,118.82
wetland_6,1/28/23,15:45,0.189805,242.98
wetland_6,2/18/23,14:15,0.07672556,0
wetland_7,6/16/22,14:31,0.3513529,515
wetland_7,7/11/22,13:20,0.3815985,622.52
wetland_7,9/23/22,12:57,0.294339,497.71
wetland_7,10/26/22,13:40,0.335812,521
wetland_7,11/20/22,11:15,0.1793526,118
wetland_8,7/12/22,12:15,0.4553872,198.01
wetland_8,9/27/22,12:05,0.4127313,174.83
wetland_8,10/19/22,13:15,0.4232857,166
wetland_8,11/20/22,13:02,0.402075,152
wetland_8,12/2/22,11:45,0.3895015,150.99
wetland_9,7/12/22,12:05,0.6188012,25.28
wetland_9,9/27/22,12:17,0.6131009,25.14
wetland_9,10/19/22,13:25,0.603709,24
wetland_9,22-Nov,12:45,0.5871994,22
wetland_9,12/2/22,11:45,0.5872503,21.31
wetland_10,7/12/22,11:15,0.6438665,56.85
wetland_10,9/27/22,11:54,0.5565152,48.84
wetland_10,10/19/22,13:15,na,58
wetland_10,11/20/22,11:15,na,55
wetland_10,12/2/22,11:45,na,53.43
wetland_11,7/12/22,11:05,0.3322021,31.01
wetland_11,9/23/22,12:45,0.2250576,24.33
wetland_11,10/26/22,13:15,0.251418,27.4
wetland_11,11/20/22,11:30,0.245585,29.22
