"Plot Title: Sampling_Baro__Wetland04_2022-07-15"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 20028183, SEN S/N: 20028183)","Temp, °C (LGR S/N: 20028183, SEN S/N: 20028183)","Coupler Detached (LGR S/N: 20028183)","Coupler Attached (LGR S/N: 20028183)","Host Connected (LGR S/N: 20028183)","Stopped (LGR S/N: 20028183)","End Of File (LGR S/N: 20028183)"
1,07/18/22 09:05:20 AM,63.429,15.473,Logged,,,,
2,07/18/22 09:05:30 AM,63.423,15.664,,,,,
3,07/18/22 09:05:40 AM,63.423,15.664,,,,,
4,07/18/22 09:05:50 AM,63.426,15.760,,,,,
5,07/18/22 09:06:00 AM,63.429,15.855,,,,,
6,07/18/22 09:06:10 AM,63.453,15.855,,,,,
7,07/18/22 09:06:20 AM,63.453,15.855,,,,,
8,07/18/22 09:06:30 AM,63.441,15.855,,,,,
9,07/18/22 09:06:40 AM,63.441,15.855,,,,,
10,07/18/22 09:06:50 AM,63.453,15.855,,,,,
11,07/18/22 09:07:00 AM,63.453,15.855,,,,,
12,07/18/22 09:07:10 AM,63.453,15.855,,,,,
13,07/18/22 09:07:20 AM,63.453,15.855,,,,,
14,07/18/22 09:07:30 AM,63.465,15.855,,,,,
15,07/18/22 09:07:40 AM,63.462,15.760,,,,,
16,07/18/22 09:07:50 AM,63.450,15.760,,,,,
17,07/18/22 09:08:00 AM,63.462,15.760,,,,,
18,07/18/22 09:08:10 AM,63.459,15.664,,,,,
19,07/18/22 09:08:20 AM,63.471,15.664,,,,,
20,07/18/22 09:08:30 AM,63.468,15.569,,,,,
21,07/18/22 09:08:40 AM,63.468,15.569,,,,,
22,07/18/22 09:08:50 AM,63.456,15.569,,,,,
23,07/18/22 09:09:00 AM,63.453,15.473,,,,,
24,07/18/22 09:09:10 AM,63.453,15.473,,,,,
25,07/18/22 09:09:20 AM,63.465,15.473,,,,,
26,07/18/22 09:09:30 AM,63.462,15.378,,,,,
27,07/18/22 09:09:40 AM,63.450,15.378,,,,,
28,07/18/22 09:09:50 AM,63.450,15.378,,,,,
29,07/18/22 09:10:00 AM,63.447,15.282,,,,,
30,07/18/22 09:10:10 AM,63.423,15.282,,,,,
31,07/18/22 09:10:20 AM,63.435,15.282,,,,,
32,07/18/22 09:10:30 AM,63.444,15.187,,,,,
33,07/18/22 09:10:40 AM,63.456,15.187,,,,,
34,07/18/22 09:10:50 AM,63.456,15.187,,,,,
35,07/18/22 09:11:00 AM,63.444,15.187,,,,,
36,07/18/22 09:11:10 AM,63.465,15.091,,,,,
37,07/18/22 09:11:20 AM,63.465,15.091,,,,,
38,07/18/22 09:11:30 AM,63.441,15.091,,,,,
39,07/18/22 09:11:40 AM,63.465,15.091,,,,,
40,07/18/22 09:11:50 AM,63.441,15.091,,,,,
41,07/18/22 09:12:00 AM,63.450,14.996,,,,,
42,07/18/22 09:12:10 AM,63.438,14.996,,,,,
43,07/18/22 09:12:20 AM,63.450,14.996,,,,,
44,07/18/22 09:12:30 AM,63.438,14.996,,,,,
45,07/18/22 09:12:40 AM,63.438,14.996,,,,,
46,07/18/22 09:12:50 AM,63.450,14.996,,,,,
47,07/18/22 09:13:00 AM,63.459,14.900,,,,,
48,07/18/22 09:13:10 AM,63.459,14.900,,,,,
49,07/18/22 09:13:20 AM,63.459,14.900,,,,,
50,07/18/22 09:13:30 AM,63.459,14.900,,,,,
51,07/18/22 09:13:40 AM,63.470,14.900,,,,,
52,07/18/22 09:13:50 AM,63.468,14.804,,,,,
53,07/18/22 09:14:00 AM,63.468,14.804,,,,,
54,07/18/22 09:14:10 AM,63.456,14.804,,,,,
55,07/18/22 09:14:20 AM,63.456,14.804,,,,,
56,07/18/22 09:14:30 AM,63.456,14.804,,,,,
57,07/18/22 09:14:40 AM,63.468,14.804,,,,,
58,07/18/22 09:14:50 AM,63.465,14.709,,,,,
59,07/18/22 09:15:00 AM,63.465,14.709,,,,,
60,07/18/22 09:15:10 AM,63.453,14.709,,,,,
61,07/18/22 09:15:20 AM,63.453,14.709,,,,,
62,07/18/22 09:15:30 AM,63.465,14.709,,,,,
63,07/18/22 09:15:40 AM,63.453,14.709,,,,,
64,07/18/22 09:15:50 AM,63.438,14.613,,,,,
65,07/18/22 09:16:00 AM,63.450,14.613,,,,,
66,07/18/22 09:16:10 AM,63.450,14.613,,,,,
67,07/18/22 09:16:20 AM,63.462,14.613,,,,,
68,07/18/22 09:16:30 AM,63.438,14.613,,,,,
69,07/18/22 09:16:40 AM,63.438,14.613,,,,,
70,07/18/22 09:16:50 AM,63.450,14.613,,,,,
71,07/18/22 09:17:00 AM,63.447,14.517,,,,,
72,07/18/22 09:17:10 AM,63.447,14.517,,,,,
73,07/18/22 09:17:20 AM,63.447,14.517,,,,,
74,07/18/22 09:17:30 AM,63.447,14.517,,,,,
75,07/18/22 09:17:40 AM,63.470,14.517,,,,,
76,07/18/22 09:17:50 AM,63.491,14.421,,,,,
77,07/18/22 09:18:00 AM,63.479,14.421,,,,,
78,07/18/22 09:18:10 AM,63.515,14.421,,,,,
79,07/18/22 09:18:20 AM,63.538,14.421,,,,,
80,07/18/22 09:18:30 AM,63.562,14.421,,,,,
81,07/18/22 09:18:40 AM,63.559,14.325,,,,,
82,07/18/22 09:18:50 AM,63.582,14.325,,,,,
83,07/18/22 09:19:00 AM,63.582,14.325,,,,,
84,07/18/22 09:19:10 AM,63.606,14.325,,,,,
85,07/18/22 09:19:20 AM,63.629,14.325,,,,,
86,07/18/22 09:19:30 AM,63.641,14.325,,,,,
87,07/18/22 09:19:40 AM,63.674,14.230,,,,,
88,07/18/22 09:19:50 AM,63.674,14.230,,,,,
89,07/18/22 09:20:00 AM,63.697,14.230,,,,,
90,07/18/22 09:20:10 AM,63.732,14.230,,,,,
91,07/18/22 09:20:20 AM,63.732,14.230,,,,,
92,07/18/22 09:20:30 AM,63.732,14.230,,,,,
93,07/18/22 09:20:40 AM,63.768,14.230,,,,,
94,07/18/22 09:20:50 AM,63.777,14.134,,,,,
95,07/18/22 09:21:00 AM,63.800,14.134,,,,,
96,07/18/22 09:21:10 AM,63.824,14.134,,,,,
97,07/18/22 09:21:20 AM,63.824,14.134,,,,,
98,07/18/22 09:21:30 AM,63.824,14.134,,,,,
99,07/18/22 09:21:40 AM,63.835,14.134,,,,,
100,07/18/22 09:21:50 AM,63.835,14.134,,,,,
