Month;Day;Year;Time;Flux;Temperature (C);Soil sig;Soil STD;ATM sig;ATM STD;Mode;Soil VR;Soil VA;ATM VR;ATM VA
10;4;22;17:29:38;  -0.00;  -0.0;   -0.00;  -0.000;   -0.00;  -0.000;1;0;0;0;0
10;4;22;17:30:00;   0.33;  22.1;  485.25;7.880;  465.66;74.085;0;199.910;183.493;199.923;182.526
10;4;22;17:40:00;   0.01;  26.8;  445.71;2.197;  444.86;2.217;0;200.085;183.543;200.060;183.572
10;4;22;17:49:22;  -0.00;  -0.0;   -0.00;  -0.000;   -0.00;  -0.000;1;0;0;0;0
10;4;22;17:50:00;   0.11;  28.0;  445.69;1.834;  438.94;7.182;0;200.181;183.464;200.181;183.501
10;4;22;18:00:22;  -0.00;  -0.0;   -0.00;  -0.000;   -0.00;  -0.000;1;0;0;0;0
10;4;22;18:00:41;   0.29;  27.8;  451.70;3.807;  434.38;10.739;0;200.269;183.447;200.269;183.614
10;4;22;18:10:00;   0.17;  29.4;  459.77;11.987;  449.61;2.986;0;200.377;183.151;200.339;183.414
10;4;22;18:18:08;  -0.00;  -0.0;   -0.00;  -0.000;   -0.00;  -0.000;2;0;0;0;0
10;4;22;18:21:28;  -0.00;  -0.0;   -0.00;  -0.000;   -0.00;  -0.000;1;0;0;0;0
10;4;22;18:21:51;  -0.00;  -0.0;   -0.00;  -0.000;   -0.00;  -0.000;2;0;0;0;0
10;14;22;17:30:51;  -0.00;  -0.0;   -0.00;  -0.000;   -0.00;  -0.000;1;0;0;0;0
10;14;22;17:31:10;  -0.00;  -0.0;   -0.00;  -0.000;   -0.00;  -0.000;2;0;0;0;0
10;14;22;17:31:17;  -0.00;  -0.0;   -0.00;  -0.000;   -0.00;  -0.000;2;0;0;0;0
10;14;22;16:45:29;  -0.00;  -0.0;   -0.00;  -0.000;   -0.00;  -0.000;1;0;0;0;0
10;14;22;16:46:14;  -0.00;  -0.0;   -0.00;  -0.000;   -0.00;  -0.000;1;0;0;0;0
10;14;22;16:52:57;  -0.00;  -0.0;   -0.00;  -0.000;   -0.00;  -0.000;1;0;0;0;0
10;14;22;16:56:29;  -0.00;  -0.0;   -0.00;  -0.000;   -0.00;  -0.000;1;0;0;0;0
10;14;22;17:00:00;   0.07;  28.0;  499.26;4.470;  495.09;4.845;0;200.194;182.956;200.169;183.006
10;14;22;17:05:00;   0.06;  28.5;  478.44;3.332;  474.72;4.534;0;200.256;183.118;200.235;183.197
10;14;22;17:15:35;  -0.00;  -0.0;   -0.00;  -0.000;   -0.00;  -0.000;1;0;0;0;0
10;15;22;10:18:42;  -0.00;  -0.0;   -0.00;  -0.000;   -0.00;  -0.000;1;0;0;0;0
10;15;22;10:20:00;  -0.52;  22.9;  267.82;2.536;  298.34;11.581;0;199.744;185.435;199.727;185.456
10;15;22;10:25:00;  -0.31;  25.3;  252.55;4.245;  270.60;5.452;0;199.839;185.526;199.781;185.368
10;15;22;10:30:00;  -0.10;  26.0;  249.89;2.921;  256.00;5.292;0;199.910;185.510;199.902;185.497
10;15;22;10:35:00;  -0.02;  26.2;  252.56;3.468;  253.50;2.700;0;199.952;185.547;199.931;185.493
10;15;22;10:40:00;  -0.07;  26.2;  251.05;3.707;  255.14;3.241;0;199.981;185.576;199.964;185.535
10;15;22;10:45:00;   0.03;  26.0;  252.76;4.110;  251.25;3.936;0;200.056;185.606;199.902;185.543
10;15;22;10:50:00;   0.02;  25.8;  257.35;3.553;  256.09;1.816;0;200.060;185.602;199.977;185.543
10;15;22;10:55:00;  -0.22;  25.8;  249.28;5.941;  262.57;7.734;0;199.989;185.651;200.014;185.347
10;15;22;11:00:00;  -0.13;  26.2;  230.49;3.582;  238.42;2.958;0;199.948;185.731;199.998;185.685
10;15;22;11:05:00;  -0.05;  26.0;  226.25;4.572;  229.25;2.702;0;199.869;185.785;199.923;185.756
10;15;22;11:10:00;  -0.06;  25.2;  224.79;2.658;  228.16;3.837;0;199.719;185.789;199.781;185.747
10;15;22;11:15:00;  -0.02;  24.2;  226.20;2.319;  227.68;1.494;0;199.639;185.822;199.673;185.789
10;15;22;11:20:00;  -0.07;  23.2;  224.34;1.878;  228.65;3.305;0;199.519;185.868;199.585;185.856
10;15;22;11:25:00;  -0.05;  22.1;  228.25;2.960;  231.36;3.143;0;199.469;185.918;199.464;185.881
10;15;22;11:30:00;  -0.06;  21.2;  229.74;2.448;  233.38;1.351;0;199.352;185.935;199.402;185.868
10;15;22;11:35:00;  -0.03;  20.5;  231.88;2.749;  233.73;2.149;0;199.289;185.956;199.331;185.922
10;15;22;11:40:00;   0.04;  19.8;  238.68;2.280;  236.31;2.608;0;199.189;185.889;199.264;185.918
10;15;22;11:45:00;  -0.01;  19.2;  237.43;1.805;  237.82;2.237;0;199.152;185.922;199.177;185.931
10;15;22;11:50:00;   0.11;  18.9;  243.08;2.486;  236.78;4.833;0;199.148;185.885;199.135;185.989
10;15;22;11:55:00;   0.09;  18.5;  244.93;2.456;  239.42;2.737;0;199.114;185.856;199.106;185.952
10;15;22;12:00:00;  -0.09;  18.1;  236.08;1.887;  241.22;3.157;0;199.052;185.968;199.044;185.939
10;15;22;12:06:15;  -0.00;  -0.0;   -0.00;  -0.000;   -0.00;  -0.000;1;0;0;0;0
10;15;22;12:10:00;  -0.01;  17.3;  241.31;3.194;  242.01;2.601;0;198.952;185.943;198.944;185.935
10;15;22;12:15:00;  -0.22;  16.6;  277.71;3.740;  290.58;2.414;0;198.848;185.614;198.864;185.418
10;15;22;12:20:00;  -0.10;  16.1;  263.37;2.407;  269.43;3.821;0;198.819;185.760;198.794;185.664
10;15;22;12:25:00;  -0.13;  15.8;  257.54;3.502;  265.15;2.086;0;198.873;185.922;198.794;185.752
10;15;22;12:30:00;  -0.09;  16.0;  242.33;2.053;  247.91;1.960;0;198.864;186.035;198.860;185.981
10;15;22;12:35:00;  -0.07;  16.2;  236.52;1.779;  240.59;2.224;0;198.881;186.072;198.869;186.031
10;15;22;12:40:00;  -0.04;  16.2;  237.18;1.389;  239.53;1.822;0;198.881;186.060;198.839;186.022
10;15;22;12:45:00;  -0.04;  16.2;  234.84;1.922;  237.18;2.031;0;198.869;186.077;198.864;186.052
10;15;22;12:50:00;  -0.11;  16.4;  235.12;2.472;  241.36;1.800;0;198.914;186.102;198.898;186.018
