Nombre Dispositivo:;;OM-CP-VOLT101A
Descripción del dispositivo:;;Registrador de Voltaje
Número de Serie:;;S02590
ID Dispositivo:;;Stn3
;;
;;Canal 1
Fecha ;Tiempo;Voltaje (ppm)
16 oct 2022;13:08:49;10
16 oct 2022;13:08:50;10
16 oct 2022;13:08:51;10
16 oct 2022;13:08:52;10
16 oct 2022;13:08:53;10
16 oct 2022;13:08:54;10
16 oct 2022;13:08:55;10
16 oct 2022;13:08:56;10
16 oct 2022;13:08:57;10
16 oct 2022;13:08:58;10
16 oct 2022;13:08:59;10
16 oct 2022;13:09:00;10
16 oct 2022;13:09:01;10
16 oct 2022;13:09:02;10
16 oct 2022;13:09:03;10
16 oct 2022;13:09:04;10
16 oct 2022;13:09:05;10
16 oct 2022;13:09:06;10
16 oct 2022;13:09:07;10
16 oct 2022;13:09:08;10
16 oct 2022;13:09:09;10
16 oct 2022;13:09:10;10
16 oct 2022;13:09:11;10
16 oct 2022;13:09:12;10
16 oct 2022;13:09:13;10
16 oct 2022;13:09:14;10
16 oct 2022;13:09:15;10
16 oct 2022;13:09:16;10
16 oct 2022;13:09:17;10
16 oct 2022;13:09:18;10
16 oct 2022;13:09:19;10
16 oct 2022;13:09:20;10
16 oct 2022;13:09:21;10
16 oct 2022;13:09:22;10
16 oct 2022;13:09:23;10
16 oct 2022;13:09:24;10
16 oct 2022;13:09:25;10
16 oct 2022;13:09:26;10
16 oct 2022;13:09:27;10
16 oct 2022;13:09:28;10
16 oct 2022;13:09:29;10
16 oct 2022;13:09:30;10
16 oct 2022;13:09:31;10
16 oct 2022;13:09:32;10
16 oct 2022;13:09:33;10
16 oct 2022;13:09:34;10
16 oct 2022;13:09:35;10
16 oct 2022;13:09:36;10
16 oct 2022;13:09:37;10
16 oct 2022;13:09:38;10
16 oct 2022;13:09:39;10
16 oct 2022;13:09:40;10
16 oct 2022;13:09:41;10
16 oct 2022;13:09:42;10
16 oct 2022;13:09:43;10
16 oct 2022;13:09:44;10
16 oct 2022;13:09:45;10
16 oct 2022;13:09:46;10
16 oct 2022;13:09:47;10
16 oct 2022;13:09:48;10
16 oct 2022;13:09:49;10
16 oct 2022;13:09:50;10
16 oct 2022;13:09:51;10
16 oct 2022;13:09:52;10
16 oct 2022;13:09:53;10
16 oct 2022;13:09:54;10
16 oct 2022;13:09:55;10
16 oct 2022;13:09:56;10
16 oct 2022;13:09:57;10
16 oct 2022;13:09:58;10
16 oct 2022;13:09:59;10
16 oct 2022;13:10:00;10
16 oct 2022;13:10:01;10
16 oct 2022;13:10:02;10
16 oct 2022;13:10:03;10
16 oct 2022;13:10:04;10
16 oct 2022;13:10:05;10
16 oct 2022;13:10:06;10
