Device Name:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,R37297
Device ID:,,K600 oldV
,,
,,Channel 1
Date,Time,Voltage (ppm)
6/29/2022,10:15:00 AM,256
6/29/2022,10:15:01 AM,256
6/29/2022,10:15:02 AM,256
6/29/2022,10:15:03 AM,256
6/29/2022,10:15:04 AM,256
6/29/2022,10:15:05 AM,256
6/29/2022,10:15:06 AM,251
6/29/2022,10:15:07 AM,251
6/29/2022,10:15:08 AM,251
6/29/2022,10:15:09 AM,251
6/29/2022,10:15:10 AM,251
6/29/2022,10:15:11 AM,251
6/29/2022,10:15:12 AM,251
6/29/2022,10:15:13 AM,251
6/29/2022,10:15:14 AM,251
6/29/2022,10:15:15 AM,251
6/29/2022,10:15:16 AM,246
6/29/2022,10:15:17 AM,251
6/29/2022,10:15:18 AM,251
6/29/2022,10:15:19 AM,251
6/29/2022,10:15:20 AM,251
6/29/2022,10:15:21 AM,251
6/29/2022,10:15:22 AM,251
6/29/2022,10:15:23 AM,251
6/29/2022,10:15:24 AM,251
6/29/2022,10:15:25 AM,251
6/29/2022,10:15:26 AM,251
6/29/2022,10:15:27 AM,251
6/29/2022,10:15:28 AM,251
6/29/2022,10:15:29 AM,246
6/29/2022,10:15:30 AM,246
6/29/2022,10:15:31 AM,246
6/29/2022,10:15:32 AM,246
6/29/2022,10:15:33 AM,246
6/29/2022,10:15:34 AM,246
6/29/2022,10:15:35 AM,246
6/29/2022,10:15:36 AM,246
6/29/2022,10:15:37 AM,246
6/29/2022,10:15:38 AM,246
6/29/2022,10:15:39 AM,241
6/29/2022,10:15:40 AM,241
6/29/2022,10:15:41 AM,241
6/29/2022,10:15:42 AM,241
6/29/2022,10:15:43 AM,241
6/29/2022,10:15:44 AM,241
6/29/2022,10:15:45 AM,241
6/29/2022,10:15:46 AM,241
6/29/2022,10:15:47 AM,241
6/29/2022,10:15:48 AM,241
6/29/2022,10:15:49 AM,241
6/29/2022,10:15:50 AM,235
6/29/2022,10:15:51 AM,235
6/29/2022,10:15:52 AM,235
6/29/2022,10:15:53 AM,235
6/29/2022,10:15:54 AM,235
6/29/2022,10:15:55 AM,235
6/29/2022,10:15:56 AM,230
6/29/2022,10:15:57 AM,235
6/29/2022,10:15:58 AM,235
6/29/2022,10:15:59 AM,230
6/29/2022,10:16:00 AM,230
6/29/2022,10:16:01 AM,230
6/29/2022,10:16:02 AM,235
6/29/2022,10:16:03 AM,230
6/29/2022,10:16:04 AM,230
6/29/2022,10:16:05 AM,230
6/29/2022,10:16:06 AM,230
6/29/2022,10:16:07 AM,230
6/29/2022,10:16:08 AM,230
6/29/2022,10:16:09 AM,230
6/29/2022,10:16:10 AM,230
6/29/2022,10:16:11 AM,230
6/29/2022,10:16:12 AM,230
6/29/2022,10:16:13 AM,235
6/29/2022,10:16:14 AM,235
6/29/2022,10:16:15 AM,235
6/29/2022,10:16:16 AM,235
6/29/2022,10:16:17 AM,235
6/29/2022,10:16:18 AM,241
6/29/2022,10:16:19 AM,241
6/29/2022,10:16:20 AM,241
6/29/2022,10:16:21 AM,241
6/29/2022,10:16:22 AM,241
6/29/2022,10:16:23 AM,241
6/29/2022,10:16:24 AM,241
6/29/2022,10:16:25 AM,241
6/29/2022,10:16:26 AM,241
6/29/2022,10:16:27 AM,241
6/29/2022,10:16:28 AM,235
6/29/2022,10:16:29 AM,241
6/29/2022,10:16:30 AM,235
6/29/2022,10:16:31 AM,241
6/29/2022,10:16:32 AM,241
6/29/2022,10:16:33 AM,235
6/29/2022,10:16:34 AM,235
6/29/2022,10:16:35 AM,241
6/29/2022,10:16:36 AM,235
6/29/2022,10:16:37 AM,235
6/29/2022,10:16:38 AM,235
6/29/2022,10:16:39 AM,235
6/29/2022,10:16:40 AM,235
6/29/2022,10:16:41 AM,235
6/29/2022,10:16:42 AM,235
6/29/2022,10:16:43 AM,235
6/29/2022,10:16:44 AM,235
6/29/2022,10:16:45 AM,230
6/29/2022,10:16:46 AM,235
6/29/2022,10:16:47 AM,235
6/29/2022,10:16:48 AM,235
6/29/2022,10:16:49 AM,235
6/29/2022,10:16:50 AM,235
6/29/2022,10:16:51 AM,235
6/29/2022,10:16:52 AM,241
6/29/2022,10:16:53 AM,241
6/29/2022,10:16:54 AM,235
6/29/2022,10:16:55 AM,241
6/29/2022,10:16:56 AM,241
6/29/2022,10:16:57 AM,241
6/29/2022,10:16:58 AM,241
6/29/2022,10:16:59 AM,241
6/29/2022,10:17:00 AM,241
6/29/2022,10:17:01 AM,246
6/29/2022,10:17:02 AM,246
6/29/2022,10:17:03 AM,251
6/29/2022,10:17:04 AM,251
6/29/2022,10:17:05 AM,251
6/29/2022,10:17:06 AM,251
6/29/2022,10:17:07 AM,251
6/29/2022,10:17:08 AM,251
6/29/2022,10:17:09 AM,251
6/29/2022,10:17:10 AM,251
6/29/2022,10:17:11 AM,251
6/29/2022,10:17:12 AM,251
6/29/2022,10:17:13 AM,251
6/29/2022,10:17:14 AM,251
6/29/2022,10:17:15 AM,251
6/29/2022,10:17:16 AM,251
6/29/2022,10:17:17 AM,251
6/29/2022,10:17:18 AM,251
6/29/2022,10:17:19 AM,251
6/29/2022,10:17:20 AM,251
6/29/2022,10:17:21 AM,251
6/29/2022,10:17:22 AM,251
6/29/2022,10:17:23 AM,251
6/29/2022,10:17:24 AM,251
6/29/2022,10:17:25 AM,251
6/29/2022,10:17:26 AM,251
6/29/2022,10:17:27 AM,251
6/29/2022,10:17:28 AM,251
6/29/2022,10:17:29 AM,246
6/29/2022,10:17:30 AM,246
6/29/2022,10:17:31 AM,251
6/29/2022,10:17:32 AM,246
6/29/2022,10:17:33 AM,246
6/29/2022,10:17:34 AM,246
6/29/2022,10:17:35 AM,251
6/29/2022,10:17:36 AM,251
6/29/2022,10:17:37 AM,251
6/29/2022,10:17:38 AM,251
6/29/2022,10:17:39 AM,251
6/29/2022,10:17:40 AM,251
6/29/2022,10:17:41 AM,246
6/29/2022,10:17:42 AM,246
6/29/2022,10:17:43 AM,246
6/29/2022,10:17:44 AM,246
6/29/2022,10:17:45 AM,251
6/29/2022,10:17:46 AM,246
6/29/2022,10:17:47 AM,246
6/29/2022,10:17:48 AM,246
6/29/2022,10:17:49 AM,246
6/29/2022,10:17:50 AM,246
6/29/2022,10:17:51 AM,246
6/29/2022,10:17:52 AM,246
6/29/2022,10:17:53 AM,246
6/29/2022,10:17:54 AM,246
6/29/2022,10:17:55 AM,246
6/29/2022,10:17:56 AM,246
6/29/2022,10:17:57 AM,246
6/29/2022,10:17:58 AM,246
6/29/2022,10:17:59 AM,246
6/29/2022,10:18:00 AM,246
6/29/2022,10:18:01 AM,246
6/29/2022,10:18:02 AM,241
6/29/2022,10:18:03 AM,241
6/29/2022,10:18:04 AM,241
6/29/2022,10:18:05 AM,241
6/29/2022,10:18:06 AM,241
6/29/2022,10:18:07 AM,241
6/29/2022,10:18:08 AM,241
6/29/2022,10:18:09 AM,241
6/29/2022,10:18:10 AM,241
6/29/2022,10:18:11 AM,241
6/29/2022,10:18:12 AM,246
6/29/2022,10:18:13 AM,246
6/29/2022,10:18:14 AM,246
6/29/2022,10:18:15 AM,241
6/29/2022,10:18:16 AM,241
6/29/2022,10:18:17 AM,241
6/29/2022,10:18:18 AM,241
6/29/2022,10:18:19 AM,241
6/29/2022,10:18:20 AM,241
6/29/2022,10:18:21 AM,241
6/29/2022,10:18:22 AM,241
6/29/2022,10:18:23 AM,241
6/29/2022,10:18:24 AM,241
6/29/2022,10:18:25 AM,241
6/29/2022,10:18:26 AM,241
6/29/2022,10:18:27 AM,235
6/29/2022,10:18:28 AM,241
6/29/2022,10:18:29 AM,241
6/29/2022,10:18:30 AM,241
6/29/2022,10:18:31 AM,241
6/29/2022,10:18:32 AM,235
6/29/2022,10:18:33 AM,241
6/29/2022,10:18:34 AM,246
6/29/2022,10:18:35 AM,246
6/29/2022,10:18:36 AM,246
6/29/2022,10:18:37 AM,246
6/29/2022,10:18:38 AM,251
6/29/2022,10:18:39 AM,251
6/29/2022,10:18:40 AM,251
6/29/2022,10:18:41 AM,251
6/29/2022,10:18:42 AM,256
6/29/2022,10:18:43 AM,256
6/29/2022,10:18:44 AM,261
6/29/2022,10:18:45 AM,261
6/29/2022,10:18:46 AM,256
6/29/2022,10:18:47 AM,256
6/29/2022,10:18:48 AM,261
6/29/2022,10:18:49 AM,261
6/29/2022,10:18:50 AM,261
6/29/2022,10:18:51 AM,261
6/29/2022,10:18:52 AM,261
6/29/2022,10:18:53 AM,261
6/29/2022,10:18:54 AM,261
6/29/2022,10:18:55 AM,261
6/29/2022,10:18:56 AM,256
6/29/2022,10:18:57 AM,261
6/29/2022,10:18:58 AM,261
6/29/2022,10:18:59 AM,261
6/29/2022,10:19:00 AM,256
6/29/2022,10:19:01 AM,256
6/29/2022,10:19:02 AM,251
6/29/2022,10:19:03 AM,251
6/29/2022,10:19:04 AM,251
6/29/2022,10:19:05 AM,251
6/29/2022,10:19:06 AM,251
6/29/2022,10:19:07 AM,251
6/29/2022,10:19:08 AM,251
6/29/2022,10:19:09 AM,251
6/29/2022,10:19:10 AM,246
6/29/2022,10:19:11 AM,246
6/29/2022,10:19:12 AM,246
