"Plot Title: WL_Wetland04"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 21400275, SEN S/N: 21400275)","Temp, °C (LGR S/N: 21400275, SEN S/N: 21400275)","Coupler Detached (LGR S/N: 21400275)","Coupler Attached (LGR S/N: 21400275)","Host Connected (LGR S/N: 21400275)","Stopped (LGR S/N: 21400275)","End Of File (LGR S/N: 21400275)"
1,06/16/22 12:30:00 PM,62.153,12.690,Logged,,,,
2,06/16/22 12:45:00 PM,65.395,13.461,,,,,
3,06/16/22 01:00:00 PM,65.358,11.722,,,,,
4,06/16/22 01:15:00 PM,65.344,11.236,,,,,
5,06/16/22 01:30:00 PM,65.322,10.846,,,,,
6,06/16/22 01:45:00 PM,65.314,10.553,,,,,
7,06/16/22 02:00:00 PM,65.297,10.357,,,,,
8,06/16/22 02:15:00 PM,65.269,10.161,,,,,
9,06/16/22 02:30:00 PM,65.244,10.063,,,,,
10,06/16/22 02:45:00 PM,65.239,9.866,,,,,
11,06/16/22 03:00:00 PM,65.225,9.768,,,,,
12,06/16/22 03:15:00 PM,65.200,9.669,,,,,
13,06/16/22 03:30:00 PM,65.200,9.669,,,,,
14,06/16/22 03:45:00 PM,65.219,9.571,,,,,
15,06/16/22 04:00:00 PM,65.186,9.571,,,,,
16,06/16/22 04:15:00 PM,65.194,9.472,,,,,
17,06/16/22 04:30:00 PM,65.183,9.472,,,,,
18,06/16/22 04:45:00 PM,65.205,9.472,,,,,
19,06/16/22 05:00:00 PM,65.191,9.373,,,,,
20,06/16/22 05:15:00 PM,65.202,9.373,,,,,
21,06/16/22 05:30:00 PM,65.213,9.373,,,,,
22,06/16/22 05:45:00 PM,65.191,9.373,,,,,
23,06/16/22 06:00:00 PM,65.191,9.373,,,,,
24,06/16/22 06:15:00 PM,65.202,9.373,,,,,
25,06/16/22 06:30:00 PM,65.224,9.373,,,,,
26,06/16/22 06:45:00 PM,65.235,9.373,,,,,
27,06/16/22 07:00:00 PM,65.224,9.373,,,,,
28,06/16/22 07:15:00 PM,65.235,9.373,,,,,
29,06/16/22 07:30:00 PM,65.257,9.373,,,,,
30,06/16/22 07:45:00 PM,65.257,9.373,,,,,
31,06/16/22 08:00:00 PM,65.257,9.373,,,,,
32,06/16/22 08:15:00 PM,65.257,9.373,,,,,
33,06/16/22 08:30:00 PM,65.260,9.472,,,,,
34,06/16/22 08:45:00 PM,65.293,9.472,,,,,
35,06/16/22 09:00:00 PM,65.293,9.472,,,,,
36,06/16/22 09:15:00 PM,65.304,9.472,,,,,
37,06/16/22 09:30:00 PM,65.293,9.472,,,,,
38,06/16/22 09:45:00 PM,65.307,9.571,,,,,
39,06/16/22 10:00:00 PM,65.307,9.571,,,,,
40,06/16/22 10:15:00 PM,65.307,9.571,,,,,
41,06/16/22 10:30:00 PM,65.293,9.472,,,,,
42,06/16/22 10:45:00 PM,65.282,9.472,,,,,
43,06/16/22 11:00:00 PM,65.279,9.373,,,,,
44,06/16/22 11:15:00 PM,65.287,9.275,,,,,
45,06/16/22 11:30:00 PM,65.262,9.176,,,,,
