"Plot Title: WL_Wetland04"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 21400275, SEN S/N: 21400275)","Temp, °C (LGR S/N: 21400275, SEN S/N: 21400275)","Coupler Detached (LGR S/N: 21400275)","Coupler Attached (LGR S/N: 21400275)","Host Connected (LGR S/N: 21400275)","Stopped (LGR S/N: 21400275)","End Of File (LGR S/N: 21400275)"
1,02/18/23 02:00:00 PM,63.150,12.013,Logged,,,,
2,02/18/23 02:15:00 PM,63.132,8.282,,,,,
3,02/18/23 02:30:00 PM,63.124,7.983,,,,,
4,02/18/23 02:45:00 PM,63.165,7.882,,,,,
5,02/18/23 03:00:00 PM,63.187,7.882,,,,,
6,02/18/23 03:15:00 PM,63.360,7.782,,,,,
7,02/18/23 03:30:00 PM,63.569,7.782,,,,,
8,02/18/23 03:45:00 PM,63.701,7.782,,,,,
9,02/18/23 04:00:00 PM,63.762,7.983,,,,,
10,02/18/23 04:15:00 PM,63.812,8.182,,,,,
11,02/18/23 04:30:00 PM,63.859,8.282,,,,,
12,02/18/23 04:45:00 PM,63.859,8.282,,,,,
13,02/18/23 05:00:00 PM,63.895,8.382,,,,,
14,02/18/23 05:15:00 PM,63.917,8.382,,,,,
15,02/18/23 05:30:00 PM,63.895,8.382,,,,,
16,02/18/23 05:45:00 PM,63.909,8.481,,,,,
17,02/18/23 06:00:00 PM,63.898,8.481,,,,,
18,02/18/23 06:15:00 PM,63.931,8.481,,,,,
19,02/18/23 06:30:00 PM,63.953,8.481,,,,,
20,02/18/23 06:45:00 PM,63.942,8.481,,,,,
21,02/18/23 07:00:00 PM,63.967,8.581,,,,,
22,02/18/23 07:15:00 PM,63.978,8.581,,,,,
23,02/18/23 07:30:00 PM,63.978,8.581,,,,,
24,02/18/23 07:45:00 PM,64.000,8.581,,,,,
25,02/18/23 08:00:00 PM,64.000,8.581,,,,,
26,02/18/23 08:15:00 PM,64.000,8.581,,,,,
27,02/18/23 08:30:00 PM,64.033,8.581,,,,,
28,02/18/23 08:45:00 PM,64.030,8.481,,,,,
29,02/18/23 09:00:00 PM,64.030,8.481,,,,,
30,02/18/23 09:15:00 PM,64.027,8.382,,,,,
31,02/18/23 09:30:00 PM,64.027,8.382,,,,,
32,02/18/23 09:45:00 PM,64.013,8.282,,,,,
33,02/18/23 10:00:00 PM,64.046,8.282,,,,,
34,02/18/23 10:15:00 PM,64.054,8.182,,,,,
35,02/18/23 10:30:00 PM,64.032,8.182,,,,,
36,02/18/23 10:45:00 PM,64.029,8.082,,,,,
37,02/18/23 11:00:00 PM,64.018,8.082,,,,,
38,02/18/23 11:15:00 PM,64.018,8.082,,,,,
39,02/18/23 11:30:00 PM,64.004,7.983,,,,,
