"Título de trazado: WL_Wetland07"
"N.º","Fecha Tiempo, GMT-05:00","Pres abs, kPa (LGR S/N: 21229464, SEN S/N: 21229464)","Temp, °C (LGR S/N: 21229464, SEN S/N: 21229464)","Acoplador separado (LGR S/N: 21229464)","Acoplador adjunto (LGR S/N: 21229464)","Host conectado (LGR S/N: 21229464)","Parado (LGR S/N: 21229464)","Final de archivo (LGR S/N: 21229464)"
1,07/28/22 12:30:00 PM,66.275,8.581,Registrado,,,,
2,07/28/22 12:45:00 PM,66.256,7.682,,,,,
3,07/28/22 01:00:00 PM,66.238,7.481,,,,,
4,07/28/22 01:15:00 PM,66.224,7.381,,,,,
5,07/28/22 01:30:00 PM,66.224,7.381,,,,,
6,07/28/22 01:45:00 PM,66.203,7.381,,,,,
7,07/28/22 02:00:00 PM,66.214,7.381,,,,,
8,07/28/22 02:15:00 PM,66.207,7.481,,,,,
9,07/28/22 02:30:00 PM,66.196,7.481,,,,,
10,07/28/22 02:45:00 PM,66.164,7.481,,,,,
11,07/28/22 03:00:00 PM,66.154,7.481,,,,,
12,07/28/22 03:15:00 PM,66.147,7.582,,,,,
13,07/28/22 03:30:00 PM,66.136,7.582,,,,,
14,07/28/22 03:45:00 PM,66.129,7.682,,,,,
15,07/28/22 04:00:00 PM,66.139,7.682,,,,,
16,07/28/22 04:15:00 PM,66.150,7.682,,,,,
17,07/28/22 04:30:00 PM,66.143,7.782,,,,,
18,07/28/22 04:45:00 PM,66.132,7.782,,,,,
19,07/28/22 05:00:00 PM,66.125,7.882,,,,,
20,07/28/22 05:15:00 PM,66.125,7.882,,,,,
21,07/28/22 05:30:00 PM,66.149,7.983,,,,,
22,07/28/22 05:45:00 PM,66.149,7.983,,,,,
23,07/28/22 06:00:00 PM,66.139,7.983,,,,,
24,07/28/22 06:15:00 PM,66.163,8.082,,,,,
25,07/28/22 06:30:00 PM,66.163,8.082,,,,,
26,07/28/22 06:45:00 PM,66.177,8.182,,,,,
27,07/28/22 07:00:00 PM,66.167,8.182,,,,,
28,07/28/22 07:15:00 PM,66.188,8.182,,,,,
29,07/28/22 07:30:00 PM,66.191,8.282,,,,,
30,07/28/22 07:45:00 PM,66.202,8.282,,,,,
31,07/28/22 08:00:00 PM,66.226,8.382,,,,,
32,07/28/22 08:15:00 PM,66.215,8.382,,,,,
33,07/28/22 08:30:00 PM,66.226,8.382,,,,,
34,07/28/22 08:45:00 PM,66.240,8.481,,,,,
35,07/28/22 09:00:00 PM,66.229,8.481,,,,,
36,07/28/22 09:15:00 PM,66.240,8.481,,,,,
37,07/28/22 09:30:00 PM,66.261,8.481,,,,,
38,07/28/22 09:45:00 PM,66.275,8.581,,,,,
39,07/28/22 10:00:00 PM,66.275,8.581,,,,,
40,07/28/22 10:15:00 PM,66.275,8.581,,,,,
41,07/28/22 10:30:00 PM,66.275,8.581,,,,,
42,07/28/22 10:45:00 PM,66.285,8.581,,,,,
43,07/28/22 11:00:00 PM,66.275,8.581,,,,,
44,07/28/22 11:15:00 PM,66.278,8.680,,,,,
45,07/28/22 11:30:00 PM,66.254,8.581,,,,,
46,07/28/22 11:45:00 PM,66.254,8.581,,,,,
47,07/29/22 12:00:00 AM,66.243,8.581,,,,,
48,07/29/22 12:15:00 AM,66.232,8.581,,,,,
49,07/29/22 12:30:00 AM,66.229,8.481,,,,,
50,07/29/22 12:45:00 AM,66.205,8.382,,,,,
51,07/29/22 01:00:00 AM,66.202,8.282,,,,,
52,07/29/22 01:15:00 AM,66.198,8.182,,,,,
53,07/29/22 01:30:00 AM,66.198,8.182,,,,,
54,07/29/22 01:45:00 AM,66.181,7.983,,,,,
55,07/29/22 02:00:00 AM,66.149,7.983,,,,,
56,07/29/22 02:15:00 AM,66.132,7.782,,,,,
57,07/29/22 02:30:00 AM,66.129,7.682,,,,,
58,07/29/22 02:45:00 AM,66.115,7.582,,,,,
59,07/29/22 03:00:00 AM,66.112,7.481,,,,,
60,07/29/22 03:15:00 AM,66.108,7.381,,,,,
61,07/29/22 03:30:00 AM,66.084,7.280,,,,,
62,07/29/22 03:45:00 AM,66.091,7.179,,,,,
63,07/29/22 04:00:00 AM,66.077,7.079,,,,,
64,07/29/22 04:15:00 AM,66.088,7.079,,,,,
65,07/29/22 04:30:00 AM,66.084,6.978,,,,,
66,07/29/22 04:45:00 AM,66.081,6.877,,,,,
67,07/29/22 05:00:00 AM,66.088,6.775,,,,,
68,07/29/22 05:15:00 AM,66.095,6.674,,,,,
69,07/29/22 05:30:00 AM,66.092,6.573,,,,,
70,07/29/22 05:45:00 AM,66.088,6.471,,,,,
71,07/29/22 06:00:00 AM,66.092,6.268,,,,,
72,07/29/22 06:15:00 AM,66.095,6.064,,,,,
73,07/29/22 06:30:00 AM,66.102,5.962,,,,,
74,07/29/22 06:45:00 AM,66.120,5.860,,,,,
75,07/29/22 07:00:00 AM,66.130,5.860,,,,,
76,07/29/22 07:15:00 AM,66.137,5.757,,,,,
77,07/29/22 07:30:00 AM,66.148,5.757,,,,,
78,07/29/22 07:45:00 AM,66.158,5.757,,,,,
79,07/29/22 08:00:00 AM,66.180,5.757,,,,,
80,07/29/22 08:15:00 AM,66.190,5.757,,,,,
