"Título de trazado: Wetland-08_WL"
"N.º","Fecha Tiempo, GMT-05:00","Pres abs, kPa (LGR S/N: 21229472, SEN S/N: 21229472)","Temp, °C (LGR S/N: 21229472, SEN S/N: 21229472)","Acoplador separado (LGR S/N: 21229472)","Acoplador adjunto (LGR S/N: 21229472)","Host conectado (LGR S/N: 21229472)","Parado (LGR S/N: 21229472)","Final de archivo (LGR S/N: 21229472)"
1,07/28/22 10:30:00 AM,66.956,8.481,Registrado,,,,
2,07/28/22 10:45:00 AM,66.948,7.682,,,,,
3,07/28/22 11:00:00 AM,66.948,7.682,,,,,
4,07/28/22 11:15:00 AM,66.917,7.682,,,,,
5,07/28/22 11:30:00 AM,66.917,7.682,,,,,
6,07/28/22 11:45:00 AM,66.932,7.782,,,,,
7,07/28/22 12:00:00 PM,66.922,7.782,,,,,
8,07/28/22 12:15:00 PM,66.912,7.782,,,,,
9,07/28/22 12:30:00 PM,66.886,7.682,,,,,
10,07/28/22 12:45:00 PM,66.881,7.782,,,,,
11,07/28/22 01:00:00 PM,66.876,7.682,,,,,
12,07/28/22 01:15:00 PM,66.866,7.682,,,,,
13,07/28/22 01:30:00 PM,66.876,7.682,,,,,
14,07/28/22 01:45:00 PM,66.845,7.682,,,,,
15,07/28/22 02:00:00 PM,66.850,7.782,,,,,
16,07/28/22 02:15:00 PM,66.845,7.682,,,,,
17,07/28/22 02:30:00 PM,66.825,7.682,,,,,
18,07/28/22 02:45:00 PM,66.815,7.682,,,,,
19,07/28/22 03:00:00 PM,66.763,7.682,,,,,
20,07/28/22 03:15:00 PM,66.753,7.682,,,,,
21,07/28/22 03:30:00 PM,66.738,7.782,,,,,
22,07/28/22 03:45:00 PM,66.727,7.782,,,,,
23,07/28/22 04:00:00 PM,66.748,7.782,,,,,
24,07/28/22 04:15:00 PM,66.738,7.782,,,,,
25,07/28/22 04:30:00 PM,66.717,7.782,,,,,
26,07/28/22 04:45:00 PM,66.707,7.782,,,,,
27,07/28/22 05:00:00 PM,66.717,7.782,,,,,
28,07/28/22 05:15:00 PM,66.717,7.782,,,,,
29,07/28/22 05:30:00 PM,66.717,7.782,,,,,
30,07/28/22 05:45:00 PM,66.727,7.782,,,,,
31,07/28/22 06:00:00 PM,66.717,7.782,,,,,
32,07/28/22 06:15:00 PM,66.738,7.782,,,,,
33,07/28/22 06:30:00 PM,66.758,7.782,,,,,
34,07/28/22 06:45:00 PM,66.748,7.782,,,,,
35,07/28/22 07:00:00 PM,66.768,7.782,,,,,
36,07/28/22 07:15:00 PM,66.789,7.782,,,,,
37,07/28/22 07:30:00 PM,66.784,7.882,,,,,
38,07/28/22 07:45:00 PM,66.814,7.882,,,,,
39,07/28/22 08:00:00 PM,66.809,7.983,,,,,
40,07/28/22 08:15:00 PM,66.814,7.882,,,,,
41,07/28/22 08:30:00 PM,66.835,7.882,,,,,
42,07/28/22 08:45:00 PM,66.835,7.882,,,,,
43,07/28/22 09:00:00 PM,66.845,7.882,,,,,
44,07/28/22 09:15:00 PM,66.855,7.882,,,,,
45,07/28/22 09:30:00 PM,66.850,7.983,,,,,
46,07/28/22 09:45:00 PM,66.881,7.983,,,,,
47,07/28/22 10:00:00 PM,66.891,7.983,,,,,
48,07/28/22 10:15:00 PM,66.901,7.983,,,,,
49,07/28/22 10:30:00 PM,66.891,7.983,,,,,
50,07/28/22 10:45:00 PM,66.891,7.983,,,,,
51,07/28/22 11:00:00 PM,66.901,7.983,,,,,
52,07/28/22 11:15:00 PM,66.891,7.983,,,,,
53,07/28/22 11:30:00 PM,66.896,8.082,,,,,
54,07/28/22 11:45:00 PM,66.885,8.082,,,,,
55,07/29/22 12:00:00 AM,66.855,8.082,,,,,
56,07/29/22 12:15:00 AM,66.865,8.082,,,,,
57,07/29/22 12:30:00 AM,66.865,8.082,,,,,
58,07/29/22 12:45:00 AM,66.855,8.082,,,,,
59,07/29/22 01:00:00 AM,66.844,8.082,,,,,
60,07/29/22 01:15:00 AM,66.855,8.082,,,,,
61,07/29/22 01:30:00 AM,66.824,8.082,,,,,
62,07/29/22 01:45:00 AM,66.834,8.082,,,,,
63,07/29/22 02:00:00 AM,66.814,8.082,,,,,
64,07/29/22 02:15:00 AM,66.793,8.082,,,,,
65,07/29/22 02:30:00 AM,66.783,8.082,,,,,
66,07/29/22 02:45:00 AM,66.783,8.082,,,,,
67,07/29/22 03:00:00 AM,66.773,8.082,,,,,
68,07/29/22 03:15:00 AM,66.783,8.082,,,,,
69,07/29/22 03:30:00 AM,66.773,8.082,,,,,
70,07/29/22 03:45:00 AM,66.762,8.082,,,,,
71,07/29/22 04:00:00 AM,66.762,8.082,,,,,
72,07/29/22 04:15:00 AM,66.762,8.082,,,,,
73,07/29/22 04:30:00 AM,66.752,8.082,,,,,
74,07/29/22 04:45:00 AM,66.744,7.280,,,,,
75,07/29/22 05:00:00 AM,66.760,6.978,,,,,
76,07/29/22 05:15:00 AM,66.755,6.877,,,,,
77,07/29/22 05:30:00 AM,66.770,6.775,,,,,
78,07/29/22 05:45:00 AM,66.760,6.775,,,,,
79,07/29/22 06:00:00 AM,66.755,6.674,,,,,
80,07/29/22 06:15:00 AM,66.770,6.775,,,,,
81,07/29/22 06:30:00 AM,66.770,6.775,,,,,
82,07/29/22 06:45:00 AM,66.775,6.877,,,,,
83,07/29/22 07:00:00 AM,66.801,6.978,,,,,
84,07/29/22 07:15:00 AM,66.816,7.079,,,,,
85,07/29/22 07:30:00 AM,66.826,7.079,,,,,
86,07/29/22 07:45:00 AM,66.852,7.179,,,,,
87,07/29/22 08:00:00 AM,66.862,7.179,,,,,
88,07/29/22 08:15:00 AM,66.897,7.280,,,,,
89,07/29/22 08:30:00 AM,66.887,7.280,,,,,
90,07/29/22 08:45:00 AM,66.913,7.179,,,,,
91,07/29/22 09:00:00 AM,66.903,7.179,,,,,
92,07/29/22 09:15:00 AM,66.923,7.381,,,,,
93,07/29/22 09:30:00 AM,66.918,7.280,,,,,
94,07/29/22 09:45:00 AM,66.923,7.381,,,,,
