"Título de trazado: WL_wetland_10"
"N.º","Fecha Tiempo, GMT-05:00","Pres abs, kPa (LGR S/N: 20175472, SEN S/N: 20175472)","Temp, °C (LGR S/N: 20175472, SEN S/N: 20175472)","Acoplador separado (LGR S/N: 20175472)","Acoplador adjunto (LGR S/N: 20175472)","Host conectado (LGR S/N: 20175472)","Parado (LGR S/N: 20175472)","Final de archivo (LGR S/N: 20175472)"
1,07/28/22 10:45:00 AM,68.608,8.382,Registrado,,,,
2,07/28/22 11:00:00 AM,68.595,8.282,,,,,
3,07/28/22 11:15:00 AM,68.575,8.282,,,,,
4,07/28/22 11:30:00 AM,68.582,8.182,,,,,
5,07/28/22 11:45:00 AM,68.572,8.182,,,,,
6,07/28/22 12:00:00 PM,68.561,8.182,,,,,
7,07/28/22 12:15:00 PM,68.572,8.182,,,,,
8,07/28/22 12:30:00 PM,68.541,8.182,,,,,
9,07/28/22 12:45:00 PM,68.530,8.182,,,,,
10,07/28/22 01:00:00 PM,68.530,8.182,,,,,
11,07/28/22 01:15:00 PM,68.520,8.182,,,,,
12,07/28/22 01:30:00 PM,68.509,8.182,,,,,
13,07/28/22 01:45:00 PM,68.509,8.182,,,,,
14,07/28/22 02:00:00 PM,68.499,8.182,,,,,
15,07/28/22 02:15:00 PM,68.488,8.182,,,,,
16,07/28/22 02:30:00 PM,68.468,8.182,,,,,
17,07/28/22 02:45:00 PM,68.468,8.182,,,,,
18,07/28/22 03:00:00 PM,68.436,8.182,,,,,
19,07/28/22 03:15:00 PM,68.415,8.182,,,,,
20,07/28/22 03:30:00 PM,68.405,8.182,,,,,
21,07/28/22 03:45:00 PM,68.395,8.182,,,,,
22,07/28/22 04:00:00 PM,68.384,8.182,,,,,
23,07/28/22 04:15:00 PM,68.374,8.182,,,,,
24,07/28/22 04:30:00 PM,68.363,8.182,,,,,
25,07/28/22 04:45:00 PM,68.363,8.182,,,,,
26,07/28/22 05:00:00 PM,68.363,8.182,,,,,
27,07/28/22 05:15:00 PM,68.353,8.182,,,,,
28,07/28/22 05:30:00 PM,68.353,8.182,,,,,
29,07/28/22 05:45:00 PM,68.363,8.182,,,,,
30,07/28/22 06:00:00 PM,68.342,8.182,,,,,
31,07/28/22 06:15:00 PM,68.374,8.182,,,,,
32,07/28/22 06:30:00 PM,68.384,8.182,,,,,
33,07/28/22 06:45:00 PM,68.395,8.182,,,,,
34,07/28/22 07:00:00 PM,68.415,8.182,,,,,
35,07/28/22 07:15:00 PM,68.426,8.182,,,,,
36,07/28/22 07:30:00 PM,68.436,8.182,,,,,
37,07/28/22 07:45:00 PM,68.426,8.182,,,,,
38,07/28/22 08:00:00 PM,68.436,8.182,,,,,
39,07/28/22 08:15:00 PM,68.447,8.182,,,,,
40,07/28/22 08:30:00 PM,68.457,8.182,,,,,
41,07/28/22 08:45:00 PM,68.447,8.182,,,,,
42,07/28/22 09:00:00 PM,68.468,8.182,,,,,
43,07/28/22 09:15:00 PM,68.457,8.182,,,,,
44,07/28/22 09:30:00 PM,68.499,8.182,,,,,
45,07/28/22 09:45:00 PM,68.499,8.182,,,,,
46,07/28/22 10:00:00 PM,68.499,8.182,,,,,
47,07/28/22 10:15:00 PM,68.499,8.182,,,,,
48,07/28/22 10:30:00 PM,68.499,8.182,,,,,
49,07/28/22 10:45:00 PM,68.499,8.182,,,,,
50,07/28/22 11:00:00 PM,68.509,8.182,,,,,
51,07/28/22 11:15:00 PM,68.488,8.182,,,,,
52,07/28/22 11:30:00 PM,68.478,8.182,,,,,
53,07/28/22 11:45:00 PM,68.478,8.182,,,,,
54,07/29/22 12:00:00 AM,68.457,8.182,,,,,
