"Plot Title: Experimento"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 20075747, SEN S/N: 20075747)","Temp, °C (LGR S/N: 20075747, SEN S/N: 20075747)","Coupler Detached (LGR S/N: 20075747)","Coupler Attached (LGR S/N: 20075747)","Host Connected (LGR S/N: 20075747)","End Of File (LGR S/N: 20075747)"
1,02/18/23 02:30:00 PM,64.623,11.722,Logged,,,
2,02/18/23 02:45:00 PM,64.614,10.161,,,,
3,02/18/23 03:00:00 PM,64.641,9.768,,,,
4,02/18/23 03:15:00 PM,64.739,9.669,,,,
5,02/18/23 03:30:00 PM,64.764,9.571,,,,
6,02/18/23 03:45:00 PM,64.791,9.571,,,,
7,02/18/23 04:00:00 PM,64.798,9.472,,,,
8,02/18/23 04:15:00 PM,64.825,9.472,,,,
9,02/18/23 04:30:00 PM,64.880,9.472,,,,
10,02/18/23 04:45:00 PM,64.896,9.373,,,,
11,02/18/23 05:00:00 PM,64.932,9.373,,,,
12,02/18/23 05:15:00 PM,64.939,9.275,,,,
13,02/18/23 05:30:00 PM,64.957,9.275,,,,
14,02/18/23 05:45:00 PM,64.993,9.275,,,,
15,02/18/23 06:00:00 PM,65.021,9.275,,,,
16,02/18/23 06:15:00 PM,65.057,9.275,,,,
17,02/18/23 06:30:00 PM,65.075,9.275,,,,
18,02/18/23 06:45:00 PM,65.102,9.275,,,,
19,02/18/23 07:00:00 PM,65.130,9.275,,,,
20,02/18/23 07:15:00 PM,65.148,9.275,,,,
21,02/18/23 07:30:00 PM,65.173,9.176,,,,
22,02/18/23 07:45:00 PM,65.191,9.176,,,,
23,02/18/23 08:00:00 PM,65.200,9.176,,,,
24,02/18/23 08:15:00 PM,65.209,9.176,,,,
25,02/18/23 08:30:00 PM,65.245,9.176,,,,
26,02/18/23 08:45:00 PM,65.236,9.176,,,,
27,02/18/23 09:00:00 PM,65.252,9.077,,,,
28,02/18/23 09:15:00 PM,65.288,9.077,,,,
29,02/18/23 09:30:00 PM,65.277,8.978,,,,
30,02/18/23 09:45:00 PM,65.295,8.978,,,,
31,02/18/23 10:00:00 PM,65.311,8.879,,,,
32,02/18/23 10:15:00 PM,65.338,8.879,,,,
33,02/18/23 10:30:00 PM,65.318,8.779,,,,
34,02/18/23 10:45:00 PM,65.327,8.779,,,,
35,02/18/23 11:00:00 PM,65.327,8.779,,,,
36,02/18/23 11:15:00 PM,65.334,8.680,,,,
37,02/18/23 11:30:00 PM,65.334,8.680,,,,
38,02/18/23 11:45:00 PM,65.334,8.680,,,,
39,02/19/23 12:00:00 AM,65.322,8.581,,,,
40,02/19/23 12:15:00 AM,65.322,8.581,,,,
41,02/19/23 12:30:00 AM,65.313,8.581,,,,
42,02/19/23 12:45:00 AM,65.284,8.481,,,,
43,02/19/23 01:00:00 AM,65.284,8.481,,,,
44,02/19/23 01:15:00 AM,65.275,8.481,,,,
45,02/19/23 01:30:00 AM,65.266,8.481,,,,
46,02/19/23 01:45:00 AM,65.245,8.382,,,,
47,02/19/23 02:00:00 AM,65.227,8.382,,,,
48,02/19/23 02:15:00 AM,65.200,8.382,,,,
49,02/19/23 02:30:00 AM,65.182,8.382,,,,
50,02/19/23 02:45:00 AM,65.179,8.282,,,,
51,02/19/23 03:00:00 AM,65.170,8.282,,,,
52,02/19/23 03:15:00 AM,65.159,8.182,,,,
53,02/19/23 03:30:00 AM,65.150,8.182,,,,
54,02/19/23 03:45:00 AM,65.147,8.082,,,,
55,02/19/23 04:00:00 AM,65.147,8.082,,,,
56,02/19/23 04:15:00 AM,65.154,7.983,,,,
57,02/19/23 04:30:00 AM,65.163,7.983,,,,
58,02/19/23 04:45:00 AM,65.161,7.882,,,,
59,02/19/23 05:00:00 AM,65.170,7.882,,,,
60,02/19/23 05:15:00 AM,65.170,7.882,,,,
61,02/19/23 05:30:00 AM,65.177,7.782,,,,
62,02/19/23 05:45:00 AM,65.186,7.782,,,,
63,02/19/23 06:00:00 AM,65.183,7.682,,,,
64,02/19/23 06:15:00 AM,65.183,7.682,,,,
65,02/19/23 06:30:00 AM,65.202,7.682,,,,
66,02/19/23 06:45:00 AM,65.208,7.582,,,,
67,02/19/23 07:00:00 AM,65.227,7.582,,,,
68,02/19/23 07:15:00 AM,65.227,7.582,,,,
69,02/19/23 07:30:00 AM,65.251,7.481,,,,
70,02/19/23 07:45:00 AM,65.251,7.481,,,,
71,02/19/23 08:00:00 AM,65.261,7.481,,,,
72,02/19/23 08:15:00 AM,65.270,7.481,,,,
73,02/19/23 08:30:00 AM,65.267,7.381,,,,
74,02/19/23 08:45:00 AM,65.285,7.381,,,,
75,02/19/23 09:00:00 AM,65.285,7.381,,,,
76,02/19/23 09:15:00 AM,65.304,7.381,,,,
77,02/19/23 09:30:00 AM,65.306,7.481,,,,
78,02/19/23 09:45:00 AM,65.297,7.481,,,,
79,02/19/23 10:00:00 AM,65.306,7.481,,,,
80,02/19/23 10:15:00 AM,65.297,7.481,,,,
81,02/19/23 10:30:00 AM,65.306,7.481,,,,
82,02/19/23 10:45:00 AM,65.299,7.582,,,,
83,02/19/23 11:00:00 AM,65.299,7.582,,,,
84,02/19/23 11:15:00 AM,65.281,7.582,,,,
85,02/19/23 11:30:00 AM,65.274,7.682,,,,
