Serial_number:
2020442
Project ID:

Location:

LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
10/12/2022,01:45:00 pm,0,6.2771,37.379
10/12/2022,02:00:00 pm,0,6.3240,29.559
10/12/2022,02:15:00 pm,0,6.6311,8.018
10/12/2022,02:30:00 pm,0,6.6273,7.271
10/12/2022,02:45:00 pm,0,6.6277,7.029
10/12/2022,03:00:00 pm,0,6.6254,6.911
10/12/2022,03:15:00 pm,0,6.6239,6.843
10/12/2022,03:30:00 pm,0,6.6219,6.802
10/12/2022,03:45:00 pm,0,6.6240,6.775
10/12/2022,04:00:00 pm,0,6.6239,6.757
10/12/2022,04:15:00 pm,0,6.6245,6.747
10/12/2022,04:30:00 pm,0,6.6236,6.743
10/12/2022,04:45:00 pm,0,6.6242,6.742
10/12/2022,05:00:00 pm,0,6.6256,6.745
10/12/2022,05:15:00 pm,0,6.6255,6.751
10/12/2022,05:30:00 pm,0,6.6258,6.760
10/12/2022,05:45:00 pm,0,6.6250,6.770
10/12/2022,06:00:00 pm,0,6.6266,6.783
10/12/2022,06:15:00 pm,0,6.6268,6.798
10/12/2022,06:30:00 pm,0,6.6276,6.813
10/12/2022,06:45:00 pm,0,6.6284,6.830
10/12/2022,07:00:00 pm,0,6.6303,6.848
10/12/2022,07:15:00 pm,0,6.6314,6.868
10/12/2022,07:30:00 pm,0,6.6336,6.888
10/12/2022,07:45:00 pm,0,6.6349,6.910
10/12/2022,08:00:00 pm,0,6.6347,6.931
10/12/2022,08:15:00 pm,0,6.6351,6.954
10/12/2022,08:30:00 pm,0,6.6355,6.976
10/12/2022,08:45:00 pm,0,6.6370,6.999
10/12/2022,09:00:00 pm,0,6.6389,7.021
10/12/2022,09:15:00 pm,0,6.6396,7.044
10/12/2022,09:30:00 pm,0,6.6401,7.067
10/12/2022,09:45:00 pm,0,6.6420,7.089
10/12/2022,10:00:00 pm,0,6.6422,7.112
10/12/2022,10:15:00 pm,0,6.6434,7.133
10/12/2022,10:30:00 pm,0,6.6434,7.155
10/12/2022,10:45:00 pm,0,6.6433,7.176
10/12/2022,11:00:00 pm,0,6.6422,7.196
10/12/2022,11:15:00 pm,0,6.6422,7.216
10/12/2022,11:30:00 pm,0,6.6415,7.234
10/12/2022,11:45:00 pm,0,6.6398,7.252
10/13/2022,12:00:00 am,0,6.6392,7.269
10/13/2022,12:15:00 am,0,6.6377,7.286
10/13/2022,12:30:00 am,0,6.6365,7.301
10/13/2022,12:45:00 am,0,6.6347,7.314
10/13/2022,01:00:00 am,0,6.6330,7.328
10/13/2022,01:15:00 am,0,6.6308,7.340
10/13/2022,01:30:00 am,0,6.6287,7.352
10/13/2022,01:45:00 am,0,6.6281,7.362
10/13/2022,02:00:00 am,0,6.6268,7.371
10/13/2022,02:15:00 am,0,6.6272,7.380
10/13/2022,02:30:00 am,0,6.6266,7.388
10/13/2022,02:45:00 am,0,6.6261,7.394
10/13/2022,03:00:00 am,0,6.6253,7.400
10/13/2022,03:15:00 am,0,6.6249,7.405
10/13/2022,03:30:00 am,0,6.6246,7.409
10/13/2022,03:45:00 am,0,6.6244,7.412
10/13/2022,04:00:00 am,0,6.6239,7.415
10/13/2022,04:15:00 am,0,6.6239,7.416
10/13/2022,04:30:00 am,0,6.6236,7.417
