"Plot Title: Wetland-09_WL"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 20968504, SEN S/N: 20968504)","Temp, °C (LGR S/N: 20968504, SEN S/N: 20968504)","Coupler Detached (LGR S/N: 20968504)","Coupler Attached (LGR S/N: 20968504)","Host Connected (LGR S/N: 20968504)","Stopped (LGR S/N: 20968504)","End Of File (LGR S/N: 20968504)"
1,07/05/22 09:02:00 AM,63.100,13.846,Logged,,,,
2,07/05/22 09:03:00 AM,63.085,13.750,,,,,
3,07/05/22 09:04:00 AM,63.103,13.558,,,,,
4,07/05/22 09:05:00 AM,63.130,13.269,,,,,
5,07/05/22 09:06:00 AM,63.143,12.883,,,,,
6,07/05/22 09:07:00 AM,63.150,12.304,,,,,
7,07/05/22 09:08:00 AM,63.156,11.722,,,,,
8,07/05/22 09:09:00 AM,63.141,11.236,,,,,
9,07/05/22 09:10:00 AM,63.138,10.748,,,,,
10,07/05/22 09:11:00 AM,63.112,10.259,,,,,
11,07/05/22 09:12:00 AM,63.111,9.866,,,,,
12,07/05/22 09:13:00 AM,63.090,9.571,,,,,
13,07/05/22 09:14:00 AM,63.107,9.373,,,,,
14,07/05/22 09:15:00 AM,63.119,9.373,,,,,
15,07/05/22 09:16:00 AM,63.104,9.275,,,,,
16,07/05/22 09:17:00 AM,63.104,9.275,,,,,
17,07/05/22 09:18:00 AM,63.125,9.176,,,,,
18,07/05/22 09:19:00 AM,63.192,9.077,,,,,
19,07/05/22 09:20:00 AM,63.272,8.978,,,,,
20,07/05/22 09:21:00 AM,63.386,8.879,,,,,
21,07/05/22 09:22:00 AM,63.445,8.879,,,,,
22,07/05/22 09:23:00 AM,63.465,8.779,,,,,
23,07/05/22 09:24:00 AM,63.465,8.779,,,,,
24,07/05/22 09:25:00 AM,63.462,8.680,,,,,
25,07/05/22 09:26:00 AM,63.450,8.680,,,,,
26,07/05/22 09:27:00 AM,63.465,8.779,,,,,
27,07/05/22 09:28:00 AM,63.462,8.680,,,,,
28,07/05/22 09:29:00 AM,63.450,8.680,,,,,
29,07/05/22 09:30:00 AM,63.459,8.581,,,,,
30,07/05/22 09:31:00 AM,63.435,8.581,,,,,
31,07/05/22 09:32:00 AM,63.456,8.481,,,,,
32,07/05/22 09:33:00 AM,63.453,8.382,,,,,
33,07/05/22 09:34:00 AM,63.453,8.382,,,,,
34,07/05/22 09:35:00 AM,63.461,8.282,,,,,
35,07/05/22 09:36:00 AM,63.458,8.182,,,,,
36,07/05/22 09:37:00 AM,63.455,8.082,,,,,
37,07/05/22 09:38:00 AM,63.466,8.082,,,,,
38,07/05/22 09:39:00 AM,63.463,7.983,,,,,
39,07/05/22 09:40:00 AM,63.472,7.882,,,,,
40,07/05/22 09:41:00 AM,63.468,7.782,,,,,
41,07/05/22 09:42:00 AM,63.457,7.782,,,,,
42,07/05/22 09:43:00 AM,63.477,7.682,,,,,
43,07/05/22 09:44:00 AM,63.450,7.582,,,,,
44,07/05/22 09:45:00 AM,63.462,7.582,,,,,
45,07/05/22 09:46:00 AM,63.458,7.481,,,,,
46,07/05/22 09:47:00 AM,63.467,7.381,,,,,
47,07/05/22 09:48:00 AM,63.490,7.381,,,,,
48,07/05/22 09:49:00 AM,63.452,7.280,,,,,
49,07/05/22 09:50:00 AM,63.452,7.280,,,,,
50,07/05/22 09:51:00 AM,63.487,7.280,,,,,
51,07/05/22 09:52:00 AM,63.511,7.280,,,,,
52,07/05/22 09:53:00 AM,63.470,7.481,,,,,
53,07/05/22 09:54:00 AM,63.470,7.481,,,,,
54,07/05/22 09:55:00 AM,63.467,7.381,,,,,
55,07/05/22 09:56:00 AM,63.463,7.280,,,,,
56,07/05/22 09:57:00 AM,65.904,7.381,,,,,
57,07/05/22 09:58:00 AM,66.030,7.280,,,,,
58,07/05/22 09:59:00 AM,68.653,7.179,,,,,
59,07/05/22 10:00:00 AM,68.650,7.079,,,,,
60,07/05/22 10:01:00 AM,68.638,7.079,,,,,
61,07/05/22 10:02:00 AM,68.646,6.978,,,,,
62,07/05/22 10:03:00 AM,68.646,6.978,,,,,
