Serial_number:
2020442
Project ID:

Location:

LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
12/2/2022,11:00:00 am,0,6.6332,9.329
12/2/2022,11:15:00 am,0,6.6339,9.077
12/2/2022,11:30:00 am,0,6.6316,8.993
12/2/2022,11:45:00 am,0,6.6313,8.950
12/2/2022,12:00:00 pm,0,6.6298,8.922
12/2/2022,12:15:00 pm,0,6.6281,8.902
12/2/2022,12:30:00 pm,0,6.6260,8.887
12/2/2022,12:45:00 pm,0,6.6249,8.876
12/2/2022,01:00:00 pm,0,6.6241,8.866
12/2/2022,01:15:00 pm,0,6.6227,8.858
12/2/2022,01:30:00 pm,0,6.6201,8.851
12/2/2022,01:45:00 pm,0,6.6201,8.845
12/2/2022,02:00:00 pm,0,6.6177,8.840
12/2/2022,02:15:00 pm,0,6.6165,8.837
12/2/2022,02:30:00 pm,0,6.6156,8.834
12/2/2022,02:45:00 pm,0,6.6146,8.832
12/2/2022,03:00:00 pm,0,6.6139,8.831
12/2/2022,03:15:00 pm,0,6.6119,8.831
12/2/2022,03:30:00 pm,0,6.6122,8.832
12/2/2022,03:45:00 pm,0,6.6126,8.833
12/2/2022,04:00:00 pm,0,6.6130,8.835
12/2/2022,04:15:00 pm,0,6.6136,8.836
12/2/2022,04:30:00 pm,0,6.6131,8.839
12/2/2022,04:45:00 pm,0,6.6137,8.843
12/2/2022,05:00:00 pm,0,6.6138,8.847
12/2/2022,05:15:00 pm,0,6.6148,8.852
12/2/2022,05:30:00 pm,0,6.6163,8.857
12/2/2022,05:45:00 pm,0,6.6181,8.862
12/2/2022,06:00:00 pm,0,6.6198,8.868
12/2/2022,06:15:00 pm,0,6.6205,8.875
12/2/2022,06:30:00 pm,0,6.6215,8.881
12/2/2022,06:45:00 pm,0,6.6226,8.888
12/2/2022,07:00:00 pm,0,6.6247,8.896
12/2/2022,07:15:00 pm,0,6.6261,8.904
12/2/2022,07:30:00 pm,0,6.6275,8.911
12/2/2022,07:45:00 pm,0,6.6293,8.919
12/2/2022,08:00:00 pm,0,6.6303,8.928
12/2/2022,08:15:00 pm,0,6.6315,8.936
12/2/2022,08:30:00 pm,0,6.6332,8.943
12/2/2022,08:45:00 pm,0,6.6346,8.952
12/2/2022,09:00:00 pm,0,6.6359,8.960
12/2/2022,09:15:00 pm,0,6.6376,8.967
12/2/2022,09:30:00 pm,0,6.6386,8.975
12/2/2022,09:45:00 pm,0,6.6393,8.981
12/2/2022,10:00:00 pm,0,6.6407,8.989
12/2/2022,10:15:00 pm,0,6.6405,8.995
12/2/2022,10:30:00 pm,0,6.6407,9.002
12/2/2022,10:45:00 pm,0,6.6403,9.008
12/2/2022,11:00:00 pm,0,6.6384,9.013
12/2/2022,11:15:00 pm,0,6.6378,9.018
12/2/2022,11:30:00 pm,0,6.6372,9.022
12/2/2022,11:45:00 pm,0,6.6358,9.026
12/3/2022,12:00:00 am,0,6.6360,9.029
12/3/2022,12:15:00 am,0,6.6350,9.033
12/3/2022,12:30:00 am,0,6.6333,9.036
12/3/2022,12:45:00 am,0,6.6324,9.038
12/3/2022,01:00:00 am,0,6.6312,9.040
12/3/2022,01:15:00 am,0,6.6299,9.041
12/3/2022,01:30:00 am,0,6.6293,9.042
12/3/2022,01:45:00 am,0,6.6277,9.042
12/3/2022,02:00:00 am,0,6.6257,9.041
12/3/2022,02:15:00 am,0,6.6246,9.041
12/3/2022,02:30:00 am,0,6.6239,9.039
12/3/2022,02:45:00 am,0,6.6226,9.037
12/3/2022,03:00:00 am,0,6.6218,9.035
12/3/2022,03:15:00 am,0,6.6218,9.032
12/3/2022,03:30:00 am,0,6.6212,9.030
12/3/2022,03:45:00 am,0,6.6208,9.025
12/3/2022,04:00:00 am,0,6.6209,9.021
12/3/2022,04:15:00 am,0,6.6217,9.017
12/3/2022,04:30:00 am,0,6.6226,9.011
12/3/2022,04:45:00 am,0,6.6228,9.006
12/3/2022,05:00:00 am,0,6.6241,9.000
12/3/2022,05:15:00 am,0,6.6245,8.994
12/3/2022,05:30:00 am,0,6.6255,8.988
12/3/2022,05:45:00 am,0,6.6255,8.981
12/3/2022,06:00:00 am,0,6.6269,8.973
12/3/2022,06:15:00 am,0,6.6275,8.965
12/3/2022,06:30:00 am,0,6.6295,8.958
12/3/2022,06:45:00 am,0,6.6314,8.950
12/3/2022,07:00:00 am,0,6.6330,8.941
12/3/2022,07:15:00 am,0,6.6352,8.932
12/3/2022,07:30:00 am,0,6.6364,8.923
12/3/2022,07:45:00 am,0,6.6380,8.915
12/3/2022,08:00:00 am,0,6.6395,8.905
12/3/2022,08:15:00 am,0,6.6406,8.895
12/3/2022,08:30:00 am,0,6.6409,8.886
12/3/2022,08:45:00 am,0,6.6403,8.876
12/3/2022,09:00:00 am,0,6.6414,8.866
12/3/2022,09:15:00 am,0,6.6413,8.856
12/3/2022,09:30:00 am,0,6.6412,8.846
12/3/2022,09:45:00 am,0,6.6411,8.836
12/3/2022,10:00:00 am,0,6.6422,8.826
12/3/2022,10:15:00 am,0,6.6418,8.817
12/3/2022,10:30:00 am,0,6.6419,8.806
12/3/2022,10:45:00 am,0,6.6412,8.796
12/3/2022,11:00:00 am,0,6.6407,8.786
12/3/2022,11:15:00 am,0,6.6398,8.778
12/3/2022,11:30:00 am,0,6.6370,8.768
12/3/2022,11:45:00 am,0,6.6345,8.759
12/3/2022,12:00:00 pm,0,6.6334,8.749
12/3/2022,12:15:00 pm,0,6.6319,8.740
12/3/2022,12:30:00 pm,0,6.6304,8.733
12/3/2022,12:45:00 pm,0,6.6278,8.724
12/3/2022,01:00:00 pm,0,6.6260,8.716
12/3/2022,01:15:00 pm,0,6.6253,8.709
12/3/2022,01:30:00 pm,0,6.6237,8.702
12/3/2022,01:45:00 pm,0,6.6223,8.695
12/3/2022,02:00:00 pm,0,6.6225,8.689
12/3/2022,02:15:00 pm,0,6.6200,8.683
12/3/2022,02:30:00 pm,0,6.6179,8.677
12/3/2022,02:45:00 pm,0,6.6175,8.673
12/3/2022,03:00:00 pm,0,6.6178,8.668
12/3/2022,03:15:00 pm,0,6.6192,8.665
12/3/2022,03:30:00 pm,0,6.6173,8.662
12/3/2022,03:45:00 pm,0,6.6183,8.659
12/3/2022,04:00:00 pm,0,6.6174,8.657
12/3/2022,04:15:00 pm,0,6.6176,8.655
12/3/2022,04:30:00 pm,0,6.6170,8.654
12/3/2022,04:45:00 pm,0,6.6175,8.653
12/3/2022,05:00:00 pm,0,6.6160,8.653
12/3/2022,05:15:00 pm,0,6.6179,8.654
12/3/2022,05:30:00 pm,0,6.6174,8.655
12/3/2022,05:45:00 pm,0,6.6181,8.657
12/3/2022,06:00:00 pm,0,6.6187,8.658
12/3/2022,06:15:00 pm,0,6.6200,8.660
12/3/2022,06:30:00 pm,0,6.6199,8.663
12/3/2022,06:45:00 pm,0,6.6212,8.666
12/3/2022,07:00:00 pm,0,6.6242,8.668
12/3/2022,07:15:00 pm,0,6.6264,8.672
12/3/2022,07:30:00 pm,0,6.6283,8.676
12/3/2022,07:45:00 pm,0,6.6291,8.678
12/3/2022,08:00:00 pm,0,6.6314,8.682
12/3/2022,08:15:00 pm,0,6.6323,8.685
12/3/2022,08:30:00 pm,0,6.6330,8.688
12/3/2022,08:45:00 pm,0,6.6349,8.691
12/3/2022,09:00:00 pm,0,6.6363,8.694
12/3/2022,09:15:00 pm,0,6.6363,8.697
12/3/2022,09:30:00 pm,0,6.6358,8.700
12/3/2022,09:45:00 pm,0,6.6358,8.701
12/3/2022,10:00:00 pm,0,6.6345,8.703
12/3/2022,10:15:00 pm,0,6.6344,8.706
12/3/2022,10:30:00 pm,0,6.6348,8.708
12/3/2022,10:45:00 pm,0,6.6350,8.709
12/3/2022,11:00:00 pm,0,6.6348,8.709
12/3/2022,11:15:00 pm,0,6.6340,8.710
