<<<<<<< HEAD
,,,,,,,,,,,,,,Wetland,Date,Watertemp_mean,water level
,Wetland 1 ,Wetland 2,Wetland 3,Wetland 4,Wetland 5,Wetland 6,Wetland 7,Wetland 8,Wetland 9,Wetland 10,Wetland 11,Wetland 12,,1,7/7/2022,5.037,0.4256698
min,238.8136,224.2373,263.2203,395.8305,459.2203,393.1186,225.1695,3354.39,2890.763,1238.949,271.0169,834.7963,,1,7/14/2022,6.268,0.6307873
first quartile,335.74575,252.817775,326.06075,492.48305,655.74575,394.0508,253.8136,5026.119,3046.729,1568.508,362.322,1131.746,,1,7/25/2022,6.877,0.3856632
median value,376.8703,291.2966,401.67795,588.9661,681.6663,430.7458,452.1017,6369.29,3202.695,2052.39,453.6271,1407.237,,2,7/7/2022,4.5814,0.6275017
Third quartile,381.81355,320.30085,499.7924,623.71185,725.5103,434.8983,491.1695,7530.305,3660.9915,2633.475,455.0678,1459.441,,2,7/14/2022,7.0384,0.6649834
maximum value ,461.8475,342.0169,538.5543,664.7288,843.4407,442.4407,779.3898,10517.98,4119.288,2769.068,456.5085,1625.712,,2,7/25/2022,7.1794,0.6605638
,,,,,,,,,,,,,,3,7/7/2022,4.2688,0.1804397
Mean,358.95,285.6355875,405.9374625,554.5593143,678.1199143,419.05084,432.4858889,6582.649667,3404.248667,2044.297556,393.7175,1290.120589,,3,7/14/2022,6.0436,0.1835193
Range ,223.0339,117.7796,275.334,268.8983,384.2204,49.3221,554.2203,7163.59,1228.525,1530.119,185.4916,790.9157,,3,7/25/2022,6.8564,0.1738215
,,,,,,,,,,,,,,4,6/29/2022,6.3494,0.4427526
,2:10,11:19,20-28,29-35,36-42,43-47,48-56,57-65,66-68,69-77,78-80,81-89,,4,7/15/2022,7.5214,0.4606246
,,,,,,,,,,,,,,4,7/22/2022,5.9416,"0.4609856	"
,,,,,,,,,,,,,,5,6/28/2022,6.9982,0.4781866
,,,,,,,,,,,,,,5,7/19/2022,6.8972,0.6035418
,,,,,,,,,,,,,,5,7/27/2022,8.6206,0.6126563
,,,,,,,,,,,,,,6,6/30/2022,7.0788,0.3758655
,,,,,,,,,,,,,,6,7/11/2022,6.2272,0.4020817
,,,,,,,,,,,,,,6,7/19/2022,5.5728,0.4002211
,,,,,,,,,,,,,,7,6/30/2022,6.7146,0.3521116
,,,,,,,,,,,,,,7,7/11/2022,6.451,0.3808888
,,,,,,,,,,,,,,7,7/19/2022,5.5318,0.3842009
,,,,,,,,,,,,,,8,7/5/2022,6.978,0.4748195
,,,,,,,,,,,,,,8,7/8/2022,7.079,0.4653909
,,,,,,,,,,,,,,8,7/18/2022,7.079,0.6151322
,,,,,,,,,,,,,,8,7/28/2022,7.8822,x
,,,,,,,,,,,,,,9,7/5/2022,7.36585,0.6305777
,,,,,,,,,,,,,,9,7/8/2022,7.28,"0.6314629	"
,,,,,,,,,,,,,,9,7/18/2022,7.582,0.6193947
