,Wetland 1 ,Wetland 2,Wetland 3,Wetland 4,Wetland 5,Wetland 6,Wetland 7,Wetland 8,Wetland 9,Wetland 10,Wetland 11,Wetland 12
min,238.8136,224.2373,263.2203,248.8814,459.2203,393.1186,225.1695,3354.39,2890.763,1238.949,271.0169,834.7963
first quartile,335.74575,252.817775,326.06075,444.0932,655.74575,393.81775,253.8136,5026.119,3046.729,1568.508,362.322,1131.746
median value,376.8703,291.2966,401.67795,492.6102,681.6663,412.3983,452.1017,6369.29,3202.695,2052.39,453.6271,1407.237
Third quartile,381.81355,320.30085,499.7924,623.71185,725.5103,431.783925,491.1695,7530.305,3660.9915,2633.475,455.0678,1459.441
maximum value ,461.8475,342.0169,538.5543,664.7288,843.4407,434.8983,779.3898,10517.98,4119.288,2769.068,456.5085,1625.712
,,,,,,,,,,,,
Mean,358.95,285.6355875,405.9374625,505.9757857,678.1199143,413.203375,432.4858889,6582.649667,3404.248667,2044.297556,393.7175,1290.120589
Range ,223.0339,117.7796,275.334,415.8474,384.2204,41.7797,554.2203,7163.59,1228.525,1530.119,185.4916,790.9157
,,,,,,,,,,,,
,,,20-28,29-35,36-42,43-47,48-56,57-65,66-68,69-77,78-80,81-89
wetland ppm,,,,,,,,,,,,
