Min of_Band_1,Max of_Band_1,Label,Count
"4,256.82","4,256.88","4,256.82-4,256.88",7
"4,256.88","4,256.94","4,256.88-4,256.94",4
"4,256.94","4,257","4,256.94-4,257",428
"4,257","4,257.06","4,257-4,257.06","15,996"
"4,257.06","4,257.12","4,257.06-4,257.12","13,985"
"4,257.12","4,257.18","4,257.12-4,257.18","13,482"
"4,257.18","4,257.24","4,257.18-4,257.24","13,469"
"4,257.24","4,257.3","4,257.24-4,257.3","23,174"
"4,257.3","4,257.36","4,257.3-4,257.36","29,861"
"4,257.36","4,257.42","4,257.36-4,257.42","26,219"
"4,257.42","4,257.48","4,257.42-4,257.48","21,460"
"4,257.48","4,257.54","4,257.48-4,257.54","20,919"
"4,257.54","4,257.6","4,257.54-4,257.6","18,192"
"4,257.6","4,257.66","4,257.6-4,257.66","14,048"
"4,257.66","4,257.73","4,257.66-4,257.73","13,211"
"4,257.73","4,257.79","4,257.73-4,257.79","10,701"
"4,257.79","4,257.85","4,257.79-4,257.85","8,752"
"4,257.85","4,257.91","4,257.85-4,257.91","8,462"
"4,257.91","4,257.97","4,257.91-4,257.97","7,505"
"4,257.97","4,258.03","4,257.97-4,258.03","7,761"
"4,258.03","4,258.09","4,258.03-4,258.09","8,912"
"4,258.09","4,258.15","4,258.09-4,258.15","9,718"
"4,258.15","4,258.21","4,258.15-4,258.21","8,782"
"4,258.21","4,258.27","4,258.21-4,258.27","7,933"
"4,258.27","4,258.33","4,258.27-4,258.33","7,023"
"4,258.33","4,258.39","4,258.33-4,258.39","6,281"
"4,258.39","4,258.45","4,258.39-4,258.45","7,023"
"4,258.45","4,258.51","4,258.45-4,258.51","8,452"
"4,258.51","4,258.57","4,258.51-4,258.57","7,099"
"4,258.57","4,258.63","4,258.57-4,258.63","6,990"
"4,258.63","4,258.69","4,258.63-4,258.69","6,526"
"4,258.69","4,258.75","4,258.69-4,258.75","4,726"
"4,258.75","4,258.81","4,258.75-4,258.81","4,463"
"4,258.81","4,258.87","4,258.81-4,258.87","3,366"
"4,258.87","4,258.93","4,258.87-4,258.93","4,170"
"4,258.93","4,258.99","4,258.93-4,258.99","3,987"
"4,258.99","4,259.05","4,258.99-4,259.05","3,679"
"4,259.05","4,259.11","4,259.05-4,259.11","3,312"
"4,259.11","4,259.17","4,259.11-4,259.17","3,287"
"4,259.17","4,259.23","4,259.17-4,259.23","2,978"
"4,259.23","4,259.29","4,259.23-4,259.29","2,435"
"4,259.29","4,259.35","4,259.29-4,259.35","2,098"
"4,259.35","4,259.41","4,259.35-4,259.41","2,611"
"4,259.41","4,259.47","4,259.41-4,259.47","2,218"
"4,259.47","4,259.53","4,259.47-4,259.53","1,900"
"4,259.53","4,259.59","4,259.53-4,259.59","2,727"
"4,259.59","4,259.65","4,259.59-4,259.65","2,356"
"4,259.65","4,259.71","4,259.65-4,259.71","1,749"
"4,259.71","4,259.77","4,259.71-4,259.77","1,387"
"4,259.77","4,259.83","4,259.77-4,259.83","1,387"
"4,259.83","4,259.89","4,259.83-4,259.89","1,350"
"4,259.89","4,259.95","4,259.89-4,259.95","1,419"
"4,259.95","4,260.01","4,259.95-4,260.01","1,076"
"4,260.01","4,260.07","4,260.01-4,260.07","1,310"
"4,260.07","4,260.13","4,260.07-4,260.13","1,933"
"4,260.13","4,260.19","4,260.13-4,260.19","1,926"
"4,260.19","4,260.25","4,260.19-4,260.25","2,125"
"4,260.25","4,260.31","4,260.25-4,260.31","1,910"
"4,260.31","4,260.37","4,260.31-4,260.37","1,673"
"4,260.37","4,260.43","4,260.37-4,260.43","1,416"
"4,260.43","4,260.49","4,260.43-4,260.49","1,431"
"4,260.49","4,260.55","4,260.49-4,260.55","1,031"
"4,260.55","4,260.61","4,260.55-4,260.61",574
"4,260.61","4,260.67","4,260.61-4,260.67",340
