Min of_Band_1,Max of_Band_1,Label,Count,Area_per_count,Total_Surface_aream2,WaterLevel_m
"4,182.27","4,182.36","4,182.27-4,182.36","22,836",0.002321312,53.00948997,0.00
"4,182.36","4,182.45","4,182.36-4,182.45","47,378",0.002321312,162.9886289,0.09
"4,182.45","4,182.53","4,182.45-4,182.53","53,738",0.002321312,287.7313146,0.18
"4,182.53","4,182.62","4,182.53-4,182.62","44,776",0.002321312,391.6703986,0.26
"4,182.62","4,182.70","4,182.62-4,182.7","40,769",0.002321312,486.3079839,0.35
"4,182.70","4,182.79","4,182.7-4,182.79","42,105",0.002321312,584.0468425,0.43
"4,182.79","4,182.88","4,182.79-4,182.88","42,166",0.002321312,681.9273011,0.52
"4,182.88","4,182.96","4,182.88-4,182.96","44,438",0.002321312,785.0817815,0.61
"4,182.96","4,183.05","4,182.96-4,183.05","43,961",0.002321312,887.128996,0.69
"4,183.05","4,183.13","4,183.05-4,183.13","45,732",0.002321312,993.2872546,0.78
"4,183.13","4,183.22","4,183.13-4,183.22","45,019",0.002321312,1097.790418,0.86
"4,183.22","4,183.31","4,183.22-4,183.31","41,604",0.002321312,1194.366299,0.95
"4,183.31","4,183.39","4,183.31-4,183.39","39,593",0.002321312,1286.274021,1.04
"4,183.39","4,183.48","4,183.39-4,183.48","38,319",0.002321312,1375.22439,1.12
"4,183.48","4,183.56","4,183.48-4,183.56","39,120",0.002321312,1466.034131,1.21
"4,183.56","4,183.65","4,183.56-4,183.65","34,796",0.002321312,1546.806518,1.29
"4,183.65","4,183.74","4,183.65-4,183.74","31,917",0.002321312,1620.895846,1.38
"4,183.74","4,183.82","4,183.74-4,183.82","31,923",0.002321312,1694.999101,1.47
"4,183.82","4,183.91","4,183.82-4,183.91","30,835",0.002321312,1766.576769,1.55
"4,183.91","4,183.99","4,183.91-4,183.99","30,682",0.002321312,1837.799276,1.64
"4,183.99","4,184.08","4,183.99-4,184.08","26,999",0.002321312,1900.47239,1.72
"4,184.08","4,184.17","4,184.08-4,184.17","22,762",0.002321312,1953.310103,1.81
"4,184.17","4,184.25","4,184.17-4,184.25","21,531",0.002321312,2003.29028,1.90
