"Plot Title: WL_Wetland01"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 20028187, SEN S/N: 20028187)","Temp, °C (LGR S/N: 20028187, SEN S/N: 20028187)","Coupler Detached (LGR S/N: 20028187)","Coupler Attached (LGR S/N: 20028187)","Host Connected (LGR S/N: 20028187)","Stopped (LGR S/N: 20028187)","End Of File (LGR S/N: 20028187)"
1,06/16/22 10:45:00 AM,61.646,21.187,Logged,,,,
2,06/16/22 11:00:00 AM,66.002,8.680,,,,,
3,06/16/22 11:15:00 AM,65.998,7.381,,,,,
4,06/16/22 11:30:00 AM,65.984,7.280,,,,,
5,06/16/22 11:45:00 AM,65.969,7.179,,,,,
6,06/16/22 12:00:00 PM,65.981,7.179,,,,,
7,06/16/22 12:15:00 PM,65.969,7.179,,,,,
8,06/16/22 12:30:00 PM,65.956,7.179,,,,,
9,06/16/22 12:45:00 PM,65.944,7.179,,,,,
10,06/16/22 01:00:00 PM,65.956,7.179,,,,,
11,06/16/22 01:15:00 PM,65.946,7.280,,,,,
12,06/16/22 01:30:00 PM,65.933,7.280,,,,,
13,06/16/22 01:45:00 PM,65.908,7.280,,,,,
14,06/16/22 02:00:00 PM,65.908,7.280,,,,,
15,06/16/22 02:15:00 PM,65.910,7.381,,,,,
16,06/16/22 02:30:00 PM,65.885,7.381,,,,,
17,06/16/22 02:45:00 PM,65.873,7.381,,,,,
18,06/16/22 03:00:00 PM,65.850,7.481,,,,,
19,06/16/22 03:15:00 PM,65.837,7.481,,,,,
20,06/16/22 03:30:00 PM,65.837,7.481,,,,,
21,06/16/22 03:45:00 PM,65.827,7.582,,,,,
22,06/16/22 04:00:00 PM,65.827,7.582,,,,,
23,06/16/22 04:15:00 PM,65.842,7.682,,,,,
24,06/16/22 04:30:00 PM,65.842,7.682,,,,,
25,06/16/22 04:45:00 PM,65.829,7.682,,,,,
26,06/16/22 05:00:00 PM,65.844,7.782,,,,,
27,06/16/22 05:15:00 PM,65.819,7.782,,,,,
28,06/16/22 05:30:00 PM,65.844,7.782,,,,,
29,06/16/22 05:45:00 PM,65.846,7.882,,,,,
30,06/16/22 06:00:00 PM,65.846,7.882,,,,,
31,06/16/22 06:15:00 PM,65.846,7.882,,,,,
32,06/16/22 06:30:00 PM,65.848,7.983,,,,,
33,06/16/22 06:45:00 PM,65.848,7.983,,,,,
34,06/16/22 07:00:00 PM,65.861,7.983,,,,,
35,06/16/22 07:15:00 PM,65.861,7.983,,,,,
36,06/16/22 07:30:00 PM,65.873,7.983,,,,,
37,06/16/22 07:45:00 PM,65.873,7.983,,,,,
38,06/16/22 08:00:00 PM,65.888,8.082,,,,,
39,06/16/22 08:15:00 PM,65.888,8.082,,,,,
40,06/16/22 08:30:00 PM,65.901,8.082,,,,,
41,06/16/22 08:45:00 PM,65.901,8.082,,,,,
42,06/16/22 09:00:00 PM,65.913,8.082,,,,,
43,06/16/22 09:15:00 PM,65.913,8.082,,,,,
44,06/16/22 09:30:00 PM,65.926,8.082,,,,,
45,06/16/22 09:45:00 PM,65.938,8.082,,,,,
46,06/16/22 10:00:00 PM,65.926,8.082,,,,,
47,06/16/22 10:15:00 PM,65.926,8.082,,,,,
48,06/16/22 10:30:00 PM,65.926,8.082,,,,,
49,06/16/22 10:45:00 PM,65.915,8.182,,,,,
50,06/16/22 11:00:00 PM,65.915,8.182,,,,,
51,06/16/22 11:15:00 PM,65.915,8.182,,,,,
52,06/16/22 11:30:00 PM,65.903,8.182,,,,,
53,06/16/22 11:45:00 PM,65.890,8.182,,,,,
54,06/17/22 12:00:00 AM,65.890,8.182,,,,,
55,06/17/22 12:15:00 AM,65.888,8.082,,,,,
56,06/17/22 12:30:00 AM,65.876,8.082,,,,,
57,06/17/22 12:45:00 AM,65.863,8.082,,,,,
58,06/17/22 01:00:00 AM,65.851,8.082,,,,,
59,06/17/22 01:15:00 AM,65.838,8.082,,,,,
60,06/17/22 01:30:00 AM,65.851,8.082,,,,,
61,06/17/22 01:45:00 AM,65.825,8.082,,,,,
62,06/17/22 02:00:00 AM,65.800,8.082,,,,,
63,06/17/22 02:15:00 AM,65.813,8.082,,,,,
64,06/17/22 02:30:00 AM,65.788,8.082,,,,,
65,06/17/22 02:45:00 AM,65.788,8.082,,,,,
66,06/17/22 03:00:00 AM,65.788,8.082,,,,,
67,06/17/22 03:15:00 AM,65.773,7.983,,,,,
68,06/17/22 03:30:00 AM,65.761,7.983,,,,,
69,06/17/22 03:45:00 AM,65.773,7.983,,,,,
70,06/17/22 04:00:00 AM,65.773,7.983,,,,,
71,06/17/22 04:15:00 AM,65.761,7.983,,,,,
72,06/17/22 04:30:00 AM,65.761,7.983,,,,,
73,06/17/22 04:45:00 AM,65.758,7.882,,,,,
74,06/17/22 05:00:00 AM,65.746,7.882,,,,,
75,06/17/22 05:15:00 AM,65.758,7.882,,,,,
76,06/17/22 05:30:00 AM,65.771,7.882,,,,,
77,06/17/22 05:45:00 AM,65.771,7.882,,,,,
78,06/17/22 06:00:00 AM,65.769,7.782,,,,,
79,06/17/22 06:15:00 AM,65.769,7.782,,,,,
80,06/17/22 06:30:00 AM,65.781,7.782,,,,,
81,06/17/22 06:45:00 AM,65.781,7.782,,,,,
82,06/17/22 07:00:00 AM,65.794,7.782,,,,,
83,06/17/22 07:15:00 AM,65.792,7.682,,,,,
84,06/17/22 07:30:00 AM,65.804,7.682,,,,,
85,06/17/22 07:45:00 AM,65.817,7.682,,,,,
86,06/17/22 08:00:00 AM,65.842,7.682,,,,,
87,06/17/22 08:15:00 AM,65.840,7.582,,,,,
88,06/17/22 08:30:00 AM,65.852,7.582,,,,,
89,06/17/22 08:45:00 AM,65.852,7.582,,,,,
90,06/17/22 09:00:00 AM,65.865,7.582,,,,,
91,06/17/22 09:15:00 AM,65.877,7.582,,,,,
92,06/17/22 09:30:00 AM,65.877,7.582,,,,,
93,06/17/22 09:45:00 AM,65.877,7.582,,,,,
94,06/17/22 10:00:00 AM,65.890,7.582,,,,,
95,06/17/22 10:15:00 AM,65.890,7.582,,,,,
96,06/17/22 10:30:00 AM,65.890,7.582,,,,,
97,06/17/22 10:45:00 AM,65.902,7.582,,,,,
98,06/17/22 11:00:00 AM,65.902,7.582,,,,,
99,06/17/22 11:15:00 AM,65.902,7.582,,,,,
100,06/17/22 11:30:00 AM,65.865,7.582,,,,,
101,06/17/22 11:45:00 AM,65.865,7.582,,,,,
102,06/17/22 12:00:00 PM,65.867,7.682,,,,,
103,06/17/22 12:15:00 PM,65.854,7.682,,,,,
104,06/17/22 12:30:00 PM,65.854,7.682,,,,,
105,06/17/22 12:45:00 PM,65.842,7.682,,,,,
106,06/17/22 01:00:00 PM,65.844,7.782,,,,,
107,06/17/22 01:15:00 PM,65.844,7.782,,,,,
108,06/17/22 01:30:00 PM,65.831,7.782,,,,,
109,06/17/22 01:45:00 PM,65.821,7.882,,,,,
110,06/17/22 02:00:00 PM,65.821,7.882,,,,,
111,06/17/22 02:15:00 PM,65.798,7.983,,,,,
112,06/17/22 02:30:00 PM,65.773,7.983,,,,,
113,06/17/22 02:45:00 PM,65.763,8.082,,,,,
114,06/17/22 03:00:00 PM,65.763,8.082,,,,,
115,06/17/22 03:15:00 PM,65.750,8.082,,,,,
116,06/17/22 03:30:00 PM,65.752,8.182,,,,,
117,06/17/22 03:45:00 PM,65.727,8.182,,,,,
118,06/17/22 04:00:00 PM,65.742,8.282,,,,,
119,06/17/22 04:15:00 PM,65.742,8.282,,,,,
120,06/17/22 04:30:00 PM,65.729,8.282,,,,,
121,06/17/22 04:45:00 PM,65.732,8.382,,,,,
122,06/17/22 05:00:00 PM,65.744,8.382,,,,,
123,06/17/22 05:15:00 PM,65.759,8.481,,,,,
124,06/17/22 05:30:00 PM,65.746,8.481,,,,,
125,06/17/22 05:45:00 PM,65.746,8.481,,,,,
126,06/17/22 06:00:00 PM,65.761,8.581,,,,,
127,06/17/22 06:15:00 PM,65.761,8.581,,,,,
128,06/17/22 06:30:00 PM,65.774,8.581,,,,,
129,06/17/22 06:45:00 PM,65.786,8.581,,,,,
130,06/17/22 07:00:00 PM,65.799,8.581,,,,,
131,06/17/22 07:15:00 PM,65.801,8.680,,,,,
132,06/17/22 07:30:00 PM,65.801,8.680,,,,,
133,06/17/22 07:45:00 PM,65.813,8.680,,,,,
134,06/17/22 08:00:00 PM,65.826,8.680,,,,,
135,06/17/22 08:15:00 PM,65.839,8.680,,,,,
136,06/17/22 08:30:00 PM,65.839,8.680,,,,,
137,06/17/22 08:45:00 PM,65.841,8.779,,,,,
138,06/17/22 09:00:00 PM,65.866,8.779,,,,,
139,06/17/22 09:15:00 PM,65.853,8.779,,,,,
140,06/17/22 09:30:00 PM,65.866,8.779,,,,,
141,06/17/22 09:45:00 PM,65.878,8.779,,,,,
142,06/17/22 10:00:00 PM,65.878,8.779,,,,,
143,06/17/22 10:15:00 PM,65.866,8.779,,,,,
144,06/17/22 10:30:00 PM,65.866,8.779,,,,,
145,06/17/22 10:45:00 PM,65.853,8.779,,,,,
146,06/17/22 11:00:00 PM,65.841,8.779,,,,,
147,06/17/22 11:15:00 PM,65.866,8.779,,,,,
148,06/17/22 11:30:00 PM,65.866,8.779,,,,,
149,06/17/22 11:45:00 PM,65.853,8.779,,,,,
150,06/18/22 12:00:00 AM,65.841,8.779,,,,,
151,06/18/22 12:15:00 AM,65.828,8.779,,,,,
152,06/18/22 12:30:00 AM,65.816,8.779,,,,,
153,06/18/22 12:45:00 AM,65.816,8.779,,,,,
154,06/18/22 01:00:00 AM,65.816,8.779,,,,,
155,06/18/22 01:15:00 AM,65.791,8.779,,,,,
156,06/18/22 01:30:00 AM,65.778,8.779,,,,,
157,06/18/22 01:45:00 AM,65.765,8.779,,,,,
158,06/18/22 02:00:00 AM,65.765,8.779,,,,,
159,06/18/22 02:15:00 AM,65.740,8.779,,,,,
160,06/18/22 02:30:00 AM,65.728,8.779,,,,,
161,06/18/22 02:45:00 AM,65.740,8.779,,,,,
162,06/18/22 03:00:00 AM,65.703,8.779,,,,,
163,06/18/22 03:15:00 AM,65.715,8.779,,,,,
164,06/18/22 03:30:00 AM,65.715,8.779,,,,,
165,06/18/22 03:45:00 AM,65.703,8.779,,,,,
166,06/18/22 04:00:00 AM,65.688,8.680,,,,,
167,06/18/22 04:15:00 AM,65.688,8.680,,,,,
168,06/18/22 04:30:00 AM,65.675,8.680,,,,,
169,06/18/22 04:45:00 AM,65.675,8.680,,,,,
170,06/18/22 05:00:00 AM,65.688,8.680,,,,,
171,06/18/22 05:15:00 AM,65.701,8.680,,,,,
172,06/18/22 05:30:00 AM,65.713,8.680,,,,,
173,06/18/22 05:45:00 AM,65.713,8.680,,,,,
174,06/18/22 06:00:00 AM,65.701,8.680,,,,,
175,06/18/22 06:15:00 AM,65.701,8.680,,,,,
176,06/18/22 06:30:00 AM,65.701,8.680,,,,,
177,06/18/22 06:45:00 AM,65.701,8.680,,,,,
178,06/18/22 07:00:00 AM,65.711,8.581,,,,,
179,06/18/22 07:15:00 AM,65.736,8.581,,,,,
180,06/18/22 07:30:00 AM,65.761,8.581,,,,,
181,06/18/22 07:45:00 AM,65.786,8.581,,,,,
182,06/18/22 08:00:00 AM,65.774,8.581,,,,,
183,06/18/22 08:15:00 AM,65.774,8.581,,,,,
184,06/18/22 08:30:00 AM,65.799,8.581,,,,,
185,06/18/22 08:45:00 AM,65.786,8.581,,,,,
186,06/18/22 09:00:00 AM,65.797,8.481,,,,,
187,06/18/22 09:15:00 AM,65.797,8.481,,,,,
188,06/18/22 09:30:00 AM,65.809,8.481,,,,,
189,06/18/22 09:45:00 AM,65.809,8.481,,,,,
190,06/18/22 10:00:00 AM,65.809,8.481,,,,,
191,06/18/22 10:15:00 AM,65.797,8.481,,,,,
192,06/18/22 10:30:00 AM,65.784,8.481,,,,,
193,06/18/22 10:45:00 AM,65.784,8.481,,,,,
194,06/18/22 11:00:00 AM,65.784,8.481,,,,,
195,06/18/22 11:15:00 AM,65.799,8.581,,,,,
196,06/18/22 11:30:00 AM,65.799,8.581,,,,,
197,06/18/22 11:45:00 AM,65.786,8.581,,,,,
198,06/18/22 12:00:00 PM,65.786,8.581,,,,,
199,06/18/22 12:15:00 PM,65.786,8.581,,,,,
200,06/18/22 12:30:00 PM,65.774,8.581,,,,,
201,06/18/22 12:45:00 PM,65.761,8.581,,,,,
202,06/18/22 01:00:00 PM,65.761,8.581,,,,,
203,06/18/22 01:15:00 PM,65.761,8.581,,,,,
204,06/18/22 01:30:00 PM,65.749,8.581,,,,,
205,06/18/22 01:45:00 PM,65.736,8.581,,,,,
206,06/18/22 02:00:00 PM,65.723,8.581,,,,,
207,06/18/22 02:15:00 PM,65.675,8.680,,,,,
