"Plot Title: Sampling_Wetlands010203_Baro_2022-07-14"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 20028183, SEN S/N: 20028183)","Temp, °C (LGR S/N: 20028183, SEN S/N: 20028183)","Coupler Detached (LGR S/N: 20028183)","Coupler Attached (LGR S/N: 20028183)","Host Connected (LGR S/N: 20028183)","Stopped (LGR S/N: 20028183)","End Of File (LGR S/N: 20028183)"
1,07/14/22 11:08:30 AM,61.877,10.063,Logged,,,,
2,07/14/22 11:08:40 AM,61.868,10.161,,,,,
3,07/14/22 11:08:50 AM,61.871,10.259,,,,,
4,07/14/22 11:09:00 AM,61.860,10.259,,,,,
5,07/14/22 11:09:10 AM,61.871,10.259,,,,,
6,07/14/22 11:09:20 AM,61.860,10.259,,,,,
7,07/14/22 11:09:30 AM,61.860,10.259,,,,,
8,07/14/22 11:09:40 AM,61.860,10.259,,,,,
9,07/14/22 11:09:50 AM,61.871,10.259,,,,,
10,07/14/22 11:10:00 AM,61.860,10.259,,,,,
11,07/14/22 11:10:10 AM,61.871,10.259,,,,,
12,07/14/22 11:10:20 AM,61.871,10.259,,,,,
13,07/14/22 11:10:30 AM,61.868,10.161,,,,,
14,07/14/22 11:10:40 AM,61.868,10.161,,,,,
15,07/14/22 11:10:50 AM,61.868,10.161,,,,,
16,07/14/22 11:11:00 AM,61.868,10.161,,,,,
17,07/14/22 11:11:10 AM,61.868,10.161,,,,,
18,07/14/22 11:11:20 AM,61.865,10.063,,,,,
19,07/14/22 11:11:30 AM,61.877,10.063,,,,,
20,07/14/22 11:11:40 AM,61.877,10.063,,,,,
21,07/14/22 11:11:50 AM,61.865,10.063,,,,,
22,07/14/22 11:12:00 AM,61.874,9.965,,,,,
23,07/14/22 11:12:10 AM,61.874,9.965,,,,,
24,07/14/22 11:12:20 AM,61.886,9.965,,,,,
25,07/14/22 11:12:30 AM,61.874,9.965,,,,,
26,07/14/22 11:12:40 AM,61.883,9.866,,,,,
27,07/14/22 11:12:50 AM,61.883,9.866,,,,,
28,07/14/22 11:13:00 AM,61.883,9.866,,,,,
29,07/14/22 11:13:10 AM,61.880,9.768,,,,,
30,07/14/22 11:13:20 AM,61.880,9.768,,,,,
31,07/14/22 11:13:30 AM,61.868,9.768,,,,,
32,07/14/22 11:13:40 AM,61.868,9.768,,,,,
33,07/14/22 11:13:50 AM,61.877,9.669,,,,,
34,07/14/22 11:14:00 AM,61.877,9.669,,,,,
35,07/14/22 11:14:10 AM,61.889,9.669,,,,,
36,07/14/22 11:14:20 AM,61.877,9.669,,,,,
37,07/14/22 11:14:30 AM,61.866,9.669,,,,,
38,07/14/22 11:14:40 AM,61.863,9.571,,,,,
39,07/14/22 11:14:50 AM,61.874,9.571,,,,,
40,07/14/22 11:15:00 AM,61.874,9.571,,,,,
41,07/14/22 11:15:10 AM,61.886,9.571,,,,,
42,07/14/22 11:15:20 AM,61.874,9.571,,,,,
43,07/14/22 11:15:30 AM,61.871,9.472,,,,,
44,07/14/22 11:15:40 AM,61.883,9.472,,,,,
45,07/14/22 11:15:50 AM,61.871,9.472,,,,,
46,07/14/22 11:16:00 AM,61.871,9.472,,,,,
47,07/14/22 11:16:10 AM,61.871,9.472,,,,,
48,07/14/22 11:16:20 AM,61.880,9.373,,,,,
49,07/14/22 11:16:30 AM,61.869,9.373,,,,,
50,07/14/22 11:16:40 AM,61.869,9.373,,,,,
