"Month","Day","Year","Time","Flux","Temperature (C)","Soil sig","Soil STD","ATM sig","ATM STD","Mode","Soil VR","Soil VA","ATM VR","ATM VA"
01,24,22,19:09:04,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,1,0,0,0,0
01,24,22,19:10:43,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,2,0,0,0,0
01,25,22,11:31:09,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,1,0,0,0,0
01,25,22,11:35:02,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,2,0,0,0,0
01,25,22,11:50:00,   0.00,  26.4,  536.27,   3.437,  536.07,   2.194,0,1.18487,2.21428,1.18483,2.21486
01,25,22,11:55:00,  -0.06,  27.0,  537.63,   3.580,  542.18,   4.158,0,1.18562,2.21448,1.18554,2.21403
01,25,22,12:00:00,  -0.06,  27.5,  529.90,   1.885,  534.62,   1.980,0,1.18620,2.21457,1.18595,2.21415
01,25,22,12:05:00,   0.02,  27.9,  526.21,   1.254,  524.97,   2.567,0,1.18658,2.21461,1.18662,2.21486
01,25,22,12:10:00,   0.05,  28.2,  528.62,   2.031,  524.51,   2.363,0,1.18683,2.21419,1.18691,2.21432
01,25,22,12:15:00,  -0.00,  28.6,  522.52,   3.385,  522.61,   3.038,0,1.18737,2.21423,1.18716,2.21415
01,25,22,12:23:13,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,2,0,0,0,0
01,25,22,13:16:26,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,1,0,0,0,0
01,25,22,13:16:50,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,1,0,0,0,0
01,25,22,13:18:33,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,1,0,0,0,0
01,25,22,13:20:00,   1.96,  23.0,  655.05,  34.783,  502.16,   9.036,0,1.18379,2.21303,1.18329,2.22611
01,25,22,13:25:00,   1.46,  25.6,  610.63,  14.306,  497.28,   9.064,0,1.18462,2.20632,1.18404,2.22044
01,25,22,13:30:00,   2.11,  26.9,  664.08,  14.010,  500.09,   7.997,0,1.18533,2.20048,1.18504,2.21832
01,25,22,13:35:00,   1.95,  27.4,  668.05,  10.457,  516.29,  12.244,0,1.18579,2.19986,1.18545,2.21640
01,25,22,13:40:00,   2.20,  27.7,  674.70,  13.277,  503.76,  11.902,0,1.18645,2.19936,1.18579,2.21690
01,25,22,13:45:00,   2.06,  27.8,  671.46,  15.488,  511.12,  10.313,0,1.18629,2.19982,1.18599,2.21653
01,25,22,13:50:00,   2.01,  27.8,  667.62,  11.390,  511.52,   9.042,0,1.18637,2.20057,1.18616,2.21615
01,25,22,13:55:00,   1.94,  27.7,  662.00,  15.555,  511.37,   8.882,0,1.18670,2.20103,1.18633,2.21698
01,25,22,14:00:00,   0.35,  27.7,  549.28,  19.793,  521.65,   8.145,0,1.18633,2.21536,1.18616,2.21636
01,25,22,14:05:00,   0.73,  27.6,  567.06,   9.263,  510.37,   9.663,0,1.18641,2.21019,1.18629,2.21778
01,25,22,14:10:00,   1.61,  27.5,  616.51,  10.726,  491.45,   4.613,0,1.18645,2.20578,1.18633,2.21936
01,25,22,14:15:00,   1.41,  27.5,  610.09,   7.055,  500.40,   6.428,0,1.18637,2.20736,1.18662,2.21890
01,25,22,14:20:00,   1.31,  27.5,  596.07,  10.960,  493.96,   6.414,0,1.18654,2.20848,1.18641,2.21973
01,25,22,15:01:02,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,1,0,0,0,0
01,25,22,15:07:10,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,1,0,0,0,0
01,25,22,15:07:29,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,2,0,0,0,0
01,25,22,15:07:40,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,2,0,0,0,0
03,18,22,10:11:12,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,1,0,0,0,0
03,18,22,10:12:38,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,1,0,0,0,0
03,18,22,10:13:14,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,2,0,0,0,0
03,18,22,10:15:00,  -0.09,  25.7,  560.81,   0.701,  568.04,   2.363,0,1.18433,2.21119,1.18424,2.21257
03,18,22,10:20:00,   0.28,  27.6,  594.38,   4.185,  572.39,   9.292,0,1.18574,2.20628,1.18495,2.20828
03,18,22,10:25:00,  -0.02,  28.6,  591.86,   3.203,  593.64,   1.509,0,1.18670,2.20603,1.18616,2.20565
03,18,22,10:30:00,  -0.08,  29.3,  582.84,   4.971,  588.69,   3.451,0,1.18720,2.20690,1.18749,2.20623
03,18,22,10:35:00,  -0.12,  29.8,  558.23,   5.455,  567.55,   4.570,0,1.18833,2.20869,1.18758,2.20769
03,18,22,10:40:00,   0.03,  30.2,  563.21,   3.208,  561.10,   4.076,0,1.18824,2.20753,1.18812,2.20757
03,18,22,10:45:00,   0.02,  30.6,  568.47,   3.879,  566.65,   1.129,0,1.18837,2.20661,1.18837,2.20715
03,18,22,10:50:00,   0.02,  30.8,  579.90,   4.034,  577.99,   3.526,0,1.18891,2.20553,1.18916,2.20603
03,18,22,10:55:00,   0.00,  31.1,  584.99,   2.663,  584.87,   1.359,0,1.18924,2.20498,1.18916,2.20519
03,18,22,11:00:00,  -0.01,  31.2,  585.42,   2.198,  586.22,   1.093,0,1.18949,2.20515,1.18937,2.20511
03,18,22,11:05:00,  -0.03,  31.4,  581.87,   3.438,  584.41,   1.373,0,1.18962,2.20561,1.18974,2.20532
03,18,22,11:10:00,  -0.05,  31.6,  554.82,   2.552,  558.94,   2.656,0,1.18983,2.20819,1.18966,2.20728
03,18,22,11:15:00,  -0.08,  31.7,  543.02,   4.087,  549.15,   3.101,0,1.18991,2.20923,1.18995,2.20861
03,18,22,11:20:00,   0.01,  31.8,  543.44,   3.250,  542.64,   2.899,0,1.19016,2.20873,1.19029,2.20932
03,18,22,11:25:00,  -2.44,  32.2,  784.88,  65.111,  974.84, 215.205,0,1.19074,2.19373,1.19104,2.15115
03,18,22,11:30:00,  -0.93,  32.8,  577.70,   6.192,  649.91,  17.745,0,1.19083,2.20453,1.19120,2.19848
03,18,22,11:35:00,  -0.22,  33.8,  545.53,   3.339,  562.73,   6.223,0,1.19195,2.20582,1.19183,2.20519
03,18,22,11:40:00,   0.45,  34.4,  568.17,   5.169,  533.21,   5.066,0,1.19224,2.20307,1.19212,2.20611
