"Plot Title: Sampling_Baro__Wetland04_2022-07-15"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 20028183, SEN S/N: 20028183)","Temp, °C (LGR S/N: 20028183, SEN S/N: 20028183)","Coupler Detached (LGR S/N: 20028183)","Coupler Attached (LGR S/N: 20028183)","Host Connected (LGR S/N: 20028183)","Stopped (LGR S/N: 20028183)","End Of File (LGR S/N: 20028183)"
1,07/15/22 12:44:10 PM,62.534,18.521,Logged,,,,
2,07/15/22 12:44:20 PM,62.522,18.521,,,,,
3,07/15/22 12:44:30 PM,62.510,18.521,,,,,
4,07/15/22 12:44:40 PM,62.522,18.521,,,,,
5,07/15/22 12:44:50 PM,62.519,18.426,,,,,
6,07/15/22 12:45:00 PM,62.519,18.426,,,,,
7,07/15/22 12:45:10 PM,62.519,18.426,,,,,
8,07/15/22 12:45:20 PM,62.519,18.426,,,,,
9,07/15/22 12:45:30 PM,62.504,18.331,,,,,
10,07/15/22 12:45:40 PM,62.504,18.331,,,,,
11,07/15/22 12:45:50 PM,62.504,18.331,,,,,
12,07/15/22 12:46:00 PM,62.504,18.331,,,,,
13,07/15/22 12:46:10 PM,62.516,18.331,,,,,
14,07/15/22 12:46:20 PM,62.513,18.236,,,,,
15,07/15/22 12:46:30 PM,62.513,18.236,,,,,
16,07/15/22 12:46:40 PM,62.513,18.236,,,,,
17,07/15/22 12:46:50 PM,62.513,18.236,,,,,
18,07/15/22 12:47:00 PM,62.513,18.236,,,,,
19,07/15/22 12:47:10 PM,62.498,18.140,,,,,
20,07/15/22 12:47:20 PM,62.498,18.140,,,,,
21,07/15/22 12:47:30 PM,62.510,18.140,,,,,
22,07/15/22 12:47:40 PM,62.510,18.140,,,,,
23,07/15/22 12:47:50 PM,62.498,18.140,,,,,
24,07/15/22 12:48:00 PM,62.510,18.140,,,,,
25,07/15/22 12:48:10 PM,62.510,18.140,,,,,
26,07/15/22 12:48:20 PM,62.507,18.045,,,,,
27,07/15/22 12:48:30 PM,62.507,18.045,,,,,
28,07/15/22 12:48:40 PM,62.495,18.045,,,,,
29,07/15/22 12:48:50 PM,62.507,18.045,,,,,
30,07/15/22 12:49:00 PM,62.507,18.045,,,,,
31,07/15/22 12:49:10 PM,62.507,18.045,,,,,
32,07/15/22 12:49:20 PM,62.516,17.950,,,,,
33,07/15/22 12:49:30 PM,62.504,17.950,,,,,
34,07/15/22 12:49:40 PM,62.504,17.950,,,,,
35,07/15/22 12:49:50 PM,62.516,17.950,,,,,
36,07/15/22 12:50:00 PM,62.501,17.855,,,,,
37,07/15/22 12:50:10 PM,62.501,17.855,,,,,
38,07/15/22 12:50:20 PM,62.513,17.855,,,,,
39,07/15/22 12:50:30 PM,62.513,17.855,,,,,
40,07/15/22 12:50:40 PM,62.510,17.760,,,,,
41,07/15/22 12:50:50 PM,62.498,17.760,,,,,
42,07/15/22 12:51:00 PM,62.498,17.760,,,,,
43,07/15/22 12:51:10 PM,62.507,17.665,,,,,
44,07/15/22 12:51:20 PM,62.507,17.665,,,,,
45,07/15/22 12:51:30 PM,62.507,17.665,,,,,
46,07/15/22 12:51:40 PM,62.504,17.570,,,,,
47,07/15/22 12:51:50 PM,62.504,17.570,,,,,
48,07/15/22 12:52:00 PM,62.504,17.570,,,,,
49,07/15/22 12:52:10 PM,62.490,17.475,,,,,
50,07/15/22 12:52:20 PM,62.490,17.475,,,,,
51,07/15/22 12:52:30 PM,62.501,17.475,,,,,
52,07/15/22 12:52:40 PM,62.499,17.379,,,,,
53,07/15/22 12:52:50 PM,62.499,17.379,,,,,
54,07/15/22 12:53:00 PM,62.499,17.379,,,,,
55,07/15/22 12:53:10 PM,62.499,17.379,,,,,
56,07/15/22 12:53:20 PM,62.499,17.379,,,,,
57,07/15/22 12:53:30 PM,62.510,17.379,,,,,
58,07/15/22 12:53:40 PM,62.499,17.379,,,,,
59,07/15/22 12:53:50 PM,62.499,17.379,,,,,
60,07/15/22 12:54:00 PM,62.499,17.379,,,,,
61,07/15/22 12:54:10 PM,62.499,17.379,,,,,
62,07/15/22 12:54:20 PM,62.487,17.379,,,,,
