Device Name:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,S02587
Device ID:,,K600 oldV
,,
,,Channel 1
Date,Time,Voltage (ppm)
7/22/2022,8:06:05 AM,240
7/22/2022,8:06:06 AM,240
7/22/2022,8:06:07 AM,240
7/22/2022,8:06:08 AM,240
7/22/2022,8:06:09 AM,235
7/22/2022,8:06:10 AM,240
7/22/2022,8:06:11 AM,235
7/22/2022,8:06:12 AM,235
7/22/2022,8:06:13 AM,235
7/22/2022,8:06:14 AM,235
7/22/2022,8:06:15 AM,235
7/22/2022,8:06:16 AM,235
7/22/2022,8:06:17 AM,15
7/22/2022,8:06:18 AM,15
7/22/2022,8:06:19 AM,15
7/22/2022,8:06:20 AM,15
7/22/2022,8:06:21 AM,15
7/22/2022,8:06:22 AM,15
7/22/2022,8:06:23 AM,15
7/22/2022,8:06:24 AM,15
7/22/2022,8:06:25 AM,15
7/22/2022,8:06:26 AM,15
7/22/2022,8:06:27 AM,15
7/22/2022,8:06:28 AM,15
7/22/2022,8:06:29 AM,15
7/22/2022,8:06:30 AM,15
7/22/2022,8:06:31 AM,15
7/22/2022,8:06:32 AM,15
7/22/2022,8:06:33 AM,15
7/22/2022,8:06:34 AM,15
7/22/2022,8:06:35 AM,15
7/22/2022,8:06:36 AM,15
7/22/2022,8:06:37 AM,15
7/22/2022,8:06:38 AM,15
7/22/2022,8:06:39 AM,15
7/22/2022,8:06:40 AM,15
7/22/2022,8:06:41 AM,15
7/22/2022,8:06:42 AM,15
7/22/2022,8:06:43 AM,20
7/22/2022,8:06:44 AM,15
7/22/2022,8:06:45 AM,15
7/22/2022,8:06:46 AM,15
7/22/2022,8:06:47 AM,15
7/22/2022,8:06:48 AM,15
7/22/2022,8:06:49 AM,15
7/22/2022,8:06:50 AM,15
7/22/2022,8:06:51 AM,15
7/22/2022,8:06:52 AM,15
7/22/2022,8:06:53 AM,15
7/22/2022,8:06:54 AM,20
7/22/2022,8:06:55 AM,15
7/22/2022,8:06:56 AM,15
7/22/2022,8:06:57 AM,15
7/22/2022,8:06:58 AM,15
7/22/2022,8:06:59 AM,20
7/22/2022,8:07:00 AM,15
7/22/2022,8:07:01 AM,15
