"Plot Title: WL_Wetland05"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 21229459, SEN S/N: 21229459)","Temp, °C (LGR S/N: 21229459, SEN S/N: 21229459)","Coupler Detached (LGR S/N: 21229459)","Coupler Attached (LGR S/N: 21229459)","Host Connected (LGR S/N: 21229459)","Stopped (LGR S/N: 21229459)","End Of File (LGR S/N: 21229459)"
1,06/16/22 01:15:00 PM,67.088,11.528,Logged,,,,
2,06/16/22 01:30:00 PM,67.063,10.161,,,,,
3,06/16/22 01:45:00 PM,67.042,9.669,,,,,
4,06/16/22 02:00:00 PM,66.999,9.373,,,,,
5,06/16/22 02:15:00 PM,66.960,9.176,,,,,
6,06/16/22 02:30:00 PM,66.955,9.077,,,,,
7,06/16/22 02:45:00 PM,66.941,8.978,,,,,
8,06/16/22 03:00:00 PM,66.941,8.978,,,,,
9,06/16/22 03:15:00 PM,66.916,8.879,,,,,
10,06/16/22 03:30:00 PM,66.906,8.879,,,,,
11,06/16/22 03:45:00 PM,66.895,8.879,,,,,
12,06/16/22 04:00:00 PM,66.895,8.879,,,,,
13,06/16/22 04:15:00 PM,66.901,8.779,,,,,
14,06/16/22 04:30:00 PM,66.901,8.779,,,,,
15,06/16/22 04:45:00 PM,66.891,8.779,,,,,
16,06/16/22 05:00:00 PM,66.881,8.779,,,,,
17,06/16/22 05:15:00 PM,66.901,8.779,,,,,
18,06/16/22 05:30:00 PM,66.901,8.779,,,,,
19,06/16/22 05:45:00 PM,66.916,8.879,,,,,
20,06/16/22 06:00:00 PM,66.926,8.879,,,,,
21,06/16/22 06:15:00 PM,66.937,8.879,,,,,
22,06/16/22 06:30:00 PM,66.947,8.879,,,,,
23,06/16/22 06:45:00 PM,66.957,8.879,,,,,
24,06/16/22 07:00:00 PM,66.947,8.879,,,,,
25,06/16/22 07:15:00 PM,66.957,8.879,,,,,
26,06/16/22 07:30:00 PM,66.972,8.978,,,,,
27,06/16/22 07:45:00 PM,66.982,8.978,,,,,
28,06/16/22 08:00:00 PM,66.982,8.978,,,,,
29,06/16/22 08:15:00 PM,66.993,8.978,,,,,
30,06/16/22 08:30:00 PM,66.993,8.978,,,,,
31,06/16/22 08:45:00 PM,67.013,8.978,,,,,
32,06/16/22 09:00:00 PM,67.028,9.077,,,,,
