"Plot Title: sampling_Wetland_WL_2022-06-30"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 20175472, SEN S/N: 20175472)","Temp, °C (LGR S/N: 20175472, SEN S/N: 20175472)","Coupler Detached (LGR S/N: 20175472)","Coupler Attached (LGR S/N: 20175472)","Host Connected (LGR S/N: 20175472)","Stopped (LGR S/N: 20175472)","End Of File (LGR S/N: 20175472)"
1,06/30/22 09:10:00 AM,62.150,14.613,Logged,,,,
2,06/30/22 09:10:10 AM,62.150,14.613,,,,,
3,06/30/22 09:10:20 AM,62.161,14.613,,,,,
4,06/30/22 09:10:30 AM,62.148,14.517,,,,,
5,06/30/22 09:10:40 AM,62.169,14.517,,,,,
6,06/30/22 09:10:50 AM,62.190,14.517,,,,,
7,06/30/22 09:11:00 AM,62.177,14.421,,,,,
8,06/30/22 09:11:10 AM,62.177,14.421,,,,,
9,06/30/22 09:11:20 AM,62.187,14.421,,,,,
10,06/30/22 09:11:30 AM,62.198,14.421,,,,,
11,06/30/22 09:11:40 AM,62.206,14.325,,,,,
12,06/30/22 09:11:50 AM,62.206,14.325,,,,,
13,06/30/22 09:12:00 AM,62.226,14.325,,,,,
14,06/30/22 09:12:10 AM,62.216,14.325,,,,,
15,06/30/22 09:12:20 AM,62.224,14.230,,,,,
16,06/30/22 09:12:30 AM,62.235,14.230,,,,,
17,06/30/22 09:12:40 AM,62.235,14.230,,,,,
18,06/30/22 09:12:50 AM,62.245,14.230,,,,,
19,06/30/22 09:13:00 AM,62.266,14.230,,,,,
20,06/30/22 09:13:10 AM,62.263,14.134,,,,,
21,06/30/22 09:13:20 AM,62.274,14.134,,,,,
22,06/30/22 09:13:30 AM,62.263,14.134,,,,,
23,06/30/22 09:13:40 AM,62.284,14.134,,,,,
24,06/30/22 09:13:50 AM,62.282,14.038,,,,,
25,06/30/22 09:14:00 AM,62.292,14.038,,,,,
26,06/30/22 09:14:10 AM,62.292,14.038,,,,,
27,06/30/22 09:14:20 AM,62.292,14.038,,,,,
28,06/30/22 09:14:30 AM,62.303,14.038,,,,,
29,06/30/22 09:14:40 AM,62.303,14.038,,,,,
30,06/30/22 09:14:50 AM,62.279,13.942,,,,,
31,06/30/22 09:15:00 AM,62.290,13.942,,,,,
32,06/30/22 09:15:10 AM,62.279,13.942,,,,,
33,06/30/22 09:15:20 AM,62.300,13.942,,,,,
34,06/30/22 09:15:30 AM,62.311,13.942,,,,,
35,06/30/22 09:15:40 AM,62.288,13.846,,,,,
36,06/30/22 09:15:50 AM,62.298,13.846,,,,,
37,06/30/22 09:16:00 AM,62.298,13.846,,,,,
38,06/30/22 09:16:10 AM,62.298,13.846,,,,,
39,06/30/22 09:16:20 AM,62.298,13.846,,,,,
40,06/30/22 09:16:30 AM,62.298,13.846,,,,,
41,06/30/22 09:16:40 AM,62.285,13.750,,,,,
42,06/30/22 09:16:50 AM,62.285,13.750,,,,,
43,06/30/22 09:17:00 AM,62.296,13.750,,,,,
44,06/30/22 09:17:10 AM,62.285,13.750,,,,,
45,06/30/22 09:17:20 AM,62.296,13.750,,,,,
46,06/30/22 09:17:30 AM,62.285,13.750,,,,,
47,06/30/22 09:17:40 AM,62.293,13.654,,,,,
48,06/30/22 09:17:50 AM,62.293,13.654,,,,,
49,06/30/22 09:18:00 AM,62.293,13.654,,,,,
50,06/30/22 09:18:10 AM,62.314,13.654,,,,,
51,06/30/22 09:18:20 AM,62.304,13.654,,,,,
52,06/30/22 09:18:30 AM,62.304,13.654,,,,,
53,06/30/22 09:18:40 AM,62.304,13.654,,,,,
54,06/30/22 09:18:50 AM,62.293,13.654,,,,,
55,06/30/22 09:19:00 AM,62.291,13.558,,,,,
56,06/30/22 09:19:10 AM,62.301,13.558,,,,,
57,06/30/22 09:19:20 AM,62.301,13.558,,,,,
58,06/30/22 09:19:30 AM,62.301,13.558,,,,,
59,06/30/22 09:19:40 AM,62.301,13.558,,,,,
60,06/30/22 09:19:50 AM,62.309,13.461,,,,,
61,06/30/22 09:20:00 AM,62.299,13.461,,,,,
62,06/30/22 09:20:10 AM,62.309,13.461,,,,,
63,06/30/22 09:20:20 AM,62.307,13.365,,,,,
64,06/30/22 09:20:30 AM,62.307,13.365,,,,,
65,06/30/22 09:20:40 AM,62.315,13.269,,,,,
66,06/30/22 09:20:50 AM,62.307,13.365,,,,,
67,06/30/22 09:21:00 AM,62.317,13.365,,,,,
68,06/30/22 09:21:10 AM,62.307,13.365,,,,,
69,06/30/22 09:21:20 AM,62.297,13.365,,,,,
70,06/30/22 09:21:30 AM,62.305,13.269,,,,,
71,06/30/22 09:21:40 AM,62.315,13.269,,,,,
72,06/30/22 09:21:50 AM,62.315,13.269,,,,,
73,06/30/22 09:22:00 AM,62.302,13.173,,,,,
74,06/30/22 09:22:10 AM,62.313,13.173,,,,,
75,06/30/22 09:22:20 AM,62.300,13.076,,,,,
76,06/30/22 09:22:30 AM,62.310,13.076,,,,,
77,06/30/22 09:22:40 AM,62.297,12.980,,,,,
78,06/30/22 09:22:50 AM,62.308,12.980,,,,,
79,06/30/22 09:23:00 AM,62.305,12.883,,,,,
80,06/30/22 09:23:10 AM,62.305,12.883,,,,,
81,06/30/22 09:23:20 AM,62.314,12.787,,,,,
82,06/30/22 09:23:30 AM,62.303,12.787,,,,,
83,06/30/22 09:23:40 AM,62.301,12.690,,,,,
84,06/30/22 09:23:50 AM,62.309,12.594,,,,,
85,06/30/22 09:24:00 AM,62.317,12.497,,,,,
86,06/30/22 09:24:10 AM,62.314,12.401,,,,,
87,06/30/22 09:24:20 AM,62.314,12.401,,,,,
88,06/30/22 09:24:30 AM,62.312,12.304,,,,,
89,06/30/22 09:24:40 AM,62.310,12.207,,,,,
90,06/30/22 09:24:50 AM,62.318,12.110,,,,,
91,06/30/22 09:25:00 AM,62.305,12.013,,,,,
92,06/30/22 09:25:10 AM,62.305,12.013,,,,,
93,06/30/22 09:25:20 AM,62.303,11.916,,,,,
94,06/30/22 09:25:30 AM,62.311,11.819,,,,,
95,06/30/22 09:25:40 AM,62.308,11.722,,,,,
96,06/30/22 09:25:50 AM,62.319,11.722,,,,,
97,06/30/22 09:26:00 AM,62.316,11.625,,,,,
98,06/30/22 09:26:10 AM,62.303,11.528,,,,,
99,06/30/22 09:26:20 AM,62.314,11.528,,,,,
100,06/30/22 09:26:30 AM,62.311,11.431,,,,,
101,06/30/22 09:26:40 AM,62.299,11.334,,,,,
102,06/30/22 09:26:50 AM,62.307,11.236,,,,,
103,06/30/22 09:27:00 AM,62.307,11.236,,,,,
104,06/30/22 09:27:10 AM,62.304,11.139,,,,,
105,06/30/22 09:27:20 AM,62.302,11.041,,,,,
106,06/30/22 09:27:30 AM,62.289,10.944,,,,,
107,06/30/22 09:27:40 AM,62.308,10.846,,,,,
108,06/30/22 09:27:50 AM,62.305,10.748,,,,,
109,06/30/22 09:28:00 AM,62.305,10.748,,,,,
110,06/30/22 09:28:10 AM,62.303,10.651,,,,,
111,06/30/22 09:28:20 AM,62.394,10.553,,,,,
