Device Name:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,S02587
Device ID:,,K600 oldV
,,
,,Channel 1
Date,Time,Voltage (ppm)
7/11/2022,1:28:31 PM,255
7/11/2022,1:28:32 PM,255
7/11/2022,1:28:33 PM,255
7/11/2022,1:28:34 PM,255
7/11/2022,1:28:35 PM,255
7/11/2022,1:28:36 PM,255
7/11/2022,1:28:37 PM,255
7/11/2022,1:28:38 PM,255
7/11/2022,1:28:39 PM,255
7/11/2022,1:28:40 PM,255
7/11/2022,1:28:41 PM,255
7/11/2022,1:28:42 PM,255
7/11/2022,1:28:43 PM,255
7/11/2022,1:28:44 PM,255
7/11/2022,1:28:45 PM,255
7/11/2022,1:28:46 PM,250
7/11/2022,1:28:47 PM,250
7/11/2022,1:28:48 PM,250
7/11/2022,1:28:49 PM,250
7/11/2022,1:28:50 PM,250
7/11/2022,1:28:51 PM,250
7/11/2022,1:28:52 PM,250
7/11/2022,1:28:53 PM,250
7/11/2022,1:28:54 PM,245
7/11/2022,1:28:55 PM,245
7/11/2022,1:28:56 PM,245
7/11/2022,1:28:57 PM,245
7/11/2022,1:28:58 PM,245
7/11/2022,1:28:59 PM,245
7/11/2022,1:29:00 PM,245
7/11/2022,1:29:01 PM,240
7/11/2022,1:29:02 PM,240
7/11/2022,1:29:03 PM,240
7/11/2022,1:29:04 PM,240
7/11/2022,1:29:05 PM,240
7/11/2022,1:29:06 PM,240
7/11/2022,1:29:07 PM,240
7/11/2022,1:29:08 PM,240
7/11/2022,1:29:09 PM,240
7/11/2022,1:29:10 PM,240
7/11/2022,1:29:11 PM,240
7/11/2022,1:29:12 PM,240
7/11/2022,1:29:13 PM,240
7/11/2022,1:29:14 PM,245
7/11/2022,1:29:15 PM,245
7/11/2022,1:29:16 PM,245
7/11/2022,1:29:17 PM,245
7/11/2022,1:29:18 PM,245
7/11/2022,1:29:19 PM,250
7/11/2022,1:29:20 PM,250
7/11/2022,1:29:21 PM,250
7/11/2022,1:29:22 PM,250
7/11/2022,1:29:23 PM,245
7/11/2022,1:29:24 PM,250
7/11/2022,1:29:25 PM,250
7/11/2022,1:29:26 PM,250
7/11/2022,1:29:27 PM,250
