Device Name:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,S02587
Device ID:,,K600 oldV
,,
,,Channel 1
Date,Time,Voltage (ppm)
7/25/2022,9:08:03 AM,15
7/25/2022,9:08:04 AM,15
7/25/2022,9:08:05 AM,15
7/25/2022,9:08:06 AM,15
7/25/2022,9:08:07 AM,15
7/25/2022,9:08:08 AM,15
7/25/2022,9:08:09 AM,15
7/25/2022,9:08:10 AM,15
7/25/2022,9:08:11 AM,15
7/25/2022,9:08:12 AM,15
7/25/2022,9:08:13 AM,15
7/25/2022,9:08:14 AM,15
7/25/2022,9:08:15 AM,15
7/25/2022,9:08:16 AM,15
7/25/2022,9:08:17 AM,15
7/25/2022,9:08:18 AM,15
7/25/2022,9:08:19 AM,15
7/25/2022,9:08:20 AM,15
7/25/2022,9:08:21 AM,15
7/25/2022,9:08:22 AM,15
7/25/2022,9:08:23 AM,15
7/25/2022,9:08:24 AM,15
7/25/2022,9:08:25 AM,15
7/25/2022,9:08:26 AM,15
7/25/2022,9:08:27 AM,15
7/25/2022,9:08:28 AM,15
7/25/2022,9:08:30 AM,15
7/25/2022,9:08:31 AM,15
7/25/2022,9:08:32 AM,15
7/25/2022,9:08:33 AM,15
7/25/2022,9:08:34 AM,15
7/25/2022,9:08:35 AM,15
7/25/2022,9:08:36 AM,15
7/25/2022,9:08:37 AM,15
7/25/2022,9:08:38 AM,15
7/25/2022,9:08:39 AM,15
7/25/2022,9:08:40 AM,15
7/25/2022,9:08:41 AM,15
7/25/2022,9:08:42 AM,15
7/25/2022,9:08:43 AM,15
7/25/2022,9:08:44 AM,15
7/25/2022,9:08:45 AM,15
7/25/2022,9:08:46 AM,15
7/25/2022,9:08:47 AM,15
7/25/2022,9:08:48 AM,15
7/25/2022,9:08:49 AM,511
7/25/2022,9:08:50 AM,631
7/25/2022,9:08:51 AM,751
7/25/2022,9:08:52 AM,902
7/25/2022,9:08:54 AM,992
7/25/2022,9:08:55 AM,1012
7/25/2022,9:08:56 AM,1062
7/25/2022,9:08:57 AM,1082
7/25/2022,9:08:58 AM,1102
7/25/2022,9:08:59 AM,1152
7/25/2022,9:09:00 AM,1187
7/25/2022,9:09:01 AM,1212
7/25/2022,9:09:02 AM,1237
7/25/2022,9:09:03 AM,1282
7/25/2022,9:09:04 AM,1367
7/25/2022,9:09:05 AM,1408
7/25/2022,9:09:06 AM,1357
7/25/2022,9:09:07 AM,1413
7/25/2022,9:09:08 AM,1523
7/25/2022,9:09:09 AM,1638
7/25/2022,9:09:10 AM,1868
7/25/2022,9:09:11 AM,1949
7/25/2022,9:09:12 AM,2144
7/25/2022,9:09:13 AM,1999
7/25/2022,9:09:14 AM,1828
7/25/2022,9:09:15 AM,1703
7/25/2022,9:09:16 AM,1448
7/25/2022,9:09:17 AM,1267
7/25/2022,9:09:18 AM,1062
7/25/2022,9:09:19 AM,907
7/25/2022,9:09:20 AM,837
7/25/2022,9:09:21 AM,796
7/25/2022,9:09:22 AM,761
7/25/2022,9:09:23 AM,731
7/25/2022,9:09:24 AM,711
7/25/2022,9:09:25 AM,696
7/25/2022,9:09:26 AM,681
