"Plot Title: WL_Wetland04"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 21400275, SEN S/N: 21400275)","Temp, °C (LGR S/N: 21400275, SEN S/N: 21400275)","Coupler Detached (LGR S/N: 21400275)","Coupler Attached (LGR S/N: 21400275)","Host Connected (LGR S/N: 21400275)","Stopped (LGR S/N: 21400275)","End Of File (LGR S/N: 21400275)"
1,07/15/22 01:00:00 PM,62.279,13.269,Logged,,,,
2,07/15/22 01:15:00 PM,62.237,26.292,,,,,
3,07/15/22 01:30:00 PM,62.213,32.086,,,,,
4,07/15/22 01:45:00 PM,67.003,10.651,,,,,
5,07/15/22 02:00:00 PM,66.974,8.581,,,,,
6,07/15/22 02:15:00 PM,66.940,8.182,,,,,
7,07/15/22 02:30:00 PM,66.937,8.082,,,,,
8,07/15/22 02:45:00 PM,66.911,7.983,,,,,
9,07/15/22 03:00:00 PM,66.875,7.882,,,,,
10,07/15/22 03:15:00 PM,66.875,7.882,,,,,
11,07/15/22 03:30:00 PM,66.875,7.882,,,,,
12,07/15/22 03:45:00 PM,66.864,7.882,,,,,
13,07/15/22 04:00:00 PM,66.875,7.882,,,,,
14,07/15/22 04:15:00 PM,66.842,7.882,,,,,
15,07/15/22 04:30:00 PM,66.839,7.782,,,,,
16,07/15/22 04:45:00 PM,66.839,7.782,,,,,
17,07/15/22 05:00:00 PM,66.864,7.882,,,,,
18,07/15/22 05:15:00 PM,66.853,7.882,,,,,
19,07/15/22 05:30:00 PM,66.864,7.882,,,,,
20,07/15/22 05:45:00 PM,66.864,7.882,,,,,
21,07/15/22 06:00:00 PM,66.875,7.882,,,,,
22,07/15/22 06:15:00 PM,66.886,7.882,,,,,
23,07/15/22 06:30:00 PM,66.875,7.882,,,,,
24,07/15/22 06:45:00 PM,66.897,7.882,,,,,
25,07/15/22 07:00:00 PM,66.908,7.882,,,,,
26,07/15/22 07:15:00 PM,66.897,7.882,,,,,
27,07/15/22 07:30:00 PM,66.900,7.983,,,,,
28,07/15/22 07:45:00 PM,66.922,7.983,,,,,
29,07/15/22 08:00:00 PM,66.944,7.983,,,,,
30,07/15/22 08:15:00 PM,66.956,7.983,,,,,
31,07/15/22 08:30:00 PM,66.956,7.983,,,,,
32,07/15/22 08:45:00 PM,66.992,8.082,,,,,
33,07/15/22 09:00:00 PM,66.981,8.082,,,,,
34,07/15/22 09:15:00 PM,66.959,8.082,,,,,
35,07/15/22 09:30:00 PM,67.003,8.082,,,,,
36,07/15/22 09:45:00 PM,66.992,8.082,,,,,
37,07/15/22 10:00:00 PM,66.995,8.182,,,,,
38,07/15/22 10:15:00 PM,66.995,8.182,,,,,
39,07/15/22 10:30:00 PM,67.006,8.182,,,,,
40,07/15/22 10:45:00 PM,67.006,8.182,,,,,
41,07/15/22 11:00:00 PM,67.006,8.182,,,,,
42,07/15/22 11:15:00 PM,66.987,8.282,,,,,
43,07/15/22 11:30:00 PM,66.976,8.282,,,,,
44,07/15/22 11:45:00 PM,66.965,8.282,,,,,
45,07/16/22 12:00:00 AM,66.965,8.282,,,,,
46,07/16/22 12:15:00 AM,66.946,8.382,,,,,
47,07/16/22 12:30:00 AM,66.946,8.382,,,,,
48,07/16/22 12:45:00 AM,66.946,8.382,,,,,
