"Plot Title: WL_Wetland06"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 21229458, SEN S/N: 21229458)","Temp, °C (LGR S/N: 21229458, SEN S/N: 21229458)","Coupler Detached (LGR S/N: 21229458)","Coupler Attached (LGR S/N: 21229458)","Host Connected (LGR S/N: 21229458)","Stopped (LGR S/N: 21229458)","End Of File (LGR S/N: 21229458)"
1,06/16/22 02:15:00 PM,62.283,18.140,Logged,,,,
2,06/16/22 02:30:00 PM,65.085,12.497,,,,,
3,06/16/22 02:45:00 PM,65.054,11.819,,,,,
4,06/16/22 03:00:00 PM,65.023,11.431,,,,,
5,06/16/22 03:15:00 PM,65.018,11.236,,,,,
6,06/16/22 03:30:00 PM,65.000,11.139,,,,,
7,06/16/22 03:45:00 PM,65.003,11.041,,,,,
8,06/16/22 04:00:00 PM,65.013,11.041,,,,,
9,06/16/22 04:15:00 PM,65.013,11.041,,,,,
10,06/16/22 04:30:00 PM,65.003,11.041,,,,,
11,06/16/22 04:45:00 PM,64.992,11.041,,,,,
12,06/16/22 05:00:00 PM,65.003,11.041,,,,,
13,06/16/22 05:15:00 PM,65.011,11.139,,,,,
14,06/16/22 05:30:00 PM,65.031,11.139,,,,,
15,06/16/22 05:45:00 PM,65.021,11.139,,,,,
16,06/16/22 06:00:00 PM,65.011,11.139,,,,,
17,06/16/22 06:15:00 PM,65.039,11.236,,,,,
18,06/16/22 06:30:00 PM,65.049,11.236,,,,,
19,06/16/22 06:45:00 PM,65.049,11.236,,,,,
20,06/16/22 07:00:00 PM,65.049,11.236,,,,,
21,06/16/22 07:15:00 PM,65.049,11.236,,,,,
22,06/16/22 07:30:00 PM,65.049,11.236,,,,,
23,06/16/22 07:45:00 PM,65.070,11.236,,,,,
24,06/16/22 08:00:00 PM,65.070,11.236,,,,,
25,06/16/22 08:15:00 PM,65.062,11.139,,,,,
26,06/16/22 08:30:00 PM,65.073,11.139,,,,,
27,06/16/22 08:45:00 PM,65.083,11.139,,,,,
28,06/16/22 09:00:00 PM,65.065,11.041,,,,,
29,06/16/22 09:15:00 PM,65.086,11.041,,,,,
30,06/16/22 09:30:00 PM,65.088,10.944,,,,,
31,06/16/22 09:45:00 PM,65.078,10.944,,,,,
32,06/16/22 10:00:00 PM,65.080,10.846,,,,,
33,06/16/22 10:15:00 PM,65.083,10.748,,,,,
34,06/16/22 10:30:00 PM,65.065,10.651,,,,,
35,06/16/22 10:45:00 PM,65.057,10.553,,,,,
36,06/16/22 11:00:00 PM,65.046,10.553,,,,,
37,06/16/22 11:15:00 PM,65.049,10.455,,,,,
38,06/16/22 11:30:00 PM,65.041,10.357,,,,,
39,06/16/22 11:45:00 PM,65.033,10.259,,,,,
40,06/17/22 12:00:00 AM,65.017,10.063,,,,,
41,06/17/22 12:15:00 AM,64.988,9.965,,,,,
42,06/17/22 12:30:00 AM,64.993,9.768,,,,,
43,06/17/22 12:45:00 AM,64.977,9.571,,,,,
44,06/17/22 01:00:00 AM,64.948,9.472,,,,,
45,06/17/22 01:15:00 AM,64.942,9.275,,,,,
46,06/17/22 01:30:00 AM,64.925,9.077,,,,,
47,06/17/22 01:45:00 AM,64.929,8.879,,,,,
48,06/17/22 02:00:00 AM,64.910,8.779,,,,,
49,06/17/22 02:15:00 AM,64.894,8.581,,,,,
50,06/17/22 02:30:00 AM,64.864,8.481,,,,,
51,06/17/22 02:45:00 AM,64.866,8.382,,,,,
52,06/17/22 03:00:00 AM,64.860,8.182,,,,,
53,06/17/22 03:15:00 AM,64.853,7.983,,,,,
54,06/17/22 03:30:00 AM,64.865,7.882,,,,,
55,06/17/22 03:45:00 AM,64.847,7.682,,,,,
56,06/17/22 04:00:00 AM,64.861,7.481,,,,,
57,06/17/22 04:15:00 AM,64.873,7.381,,,,,
58,06/17/22 04:30:00 AM,64.865,7.179,,,,,
59,06/17/22 04:45:00 AM,64.867,7.079,,,,,
60,06/17/22 05:00:00 AM,64.880,6.877,,,,,
61,06/17/22 05:15:00 AM,64.881,6.775,,,,,
62,06/17/22 05:30:00 AM,64.893,6.674,,,,,
63,06/17/22 05:45:00 AM,64.905,6.573,,,,,
64,06/17/22 06:00:00 AM,64.925,6.573,,,,,
65,06/17/22 06:15:00 AM,64.916,6.471,,,,,
66,06/17/22 06:30:00 AM,64.907,6.370,,,,,
67,06/17/22 06:45:00 AM,64.907,6.370,,,,,
68,06/17/22 07:00:00 AM,64.938,6.370,,,,,
69,06/17/22 07:15:00 AM,64.948,6.370,,,,,
70,06/17/22 07:30:00 AM,64.948,6.370,,,,,
71,06/17/22 07:45:00 AM,64.960,6.268,,,,,
72,06/17/22 08:00:00 AM,64.980,6.268,,,,,
73,06/17/22 08:15:00 AM,64.980,6.268,,,,,
74,06/17/22 08:30:00 AM,64.989,6.370,,,,,
75,06/17/22 08:45:00 AM,65.009,6.471,,,,,
76,06/17/22 09:00:00 AM,65.008,6.573,,,,,
77,06/17/22 09:15:00 AM,64.996,6.674,,,,,
78,06/17/22 09:30:00 AM,65.024,6.877,,,,,
79,06/17/22 09:45:00 AM,65.011,7.079,,,,,
80,06/17/22 10:00:00 AM,65.008,7.280,,,,,
81,06/17/22 10:15:00 AM,65.005,7.481,,,,,
82,06/17/22 10:30:00 AM,65.012,7.682,,,,,
83,06/17/22 10:45:00 AM,65.011,7.782,,,,,
84,06/17/22 11:00:00 AM,65.018,7.983,,,,,
85,06/17/22 11:15:00 AM,65.016,8.082,,,,,
86,06/17/22 11:30:00 AM,65.004,8.182,,,,,
87,06/17/22 11:45:00 AM,64.982,8.282,,,,,
88,06/17/22 12:00:00 PM,64.999,8.481,,,,,
89,06/17/22 12:15:00 PM,64.986,8.581,,,,,
90,06/17/22 12:30:00 PM,64.993,8.779,,,,,
91,06/17/22 12:45:00 PM,64.981,8.879,,,,,
92,06/17/22 01:00:00 PM,64.968,8.978,,,,,
93,06/17/22 01:15:00 PM,64.975,9.176,,,,,
94,06/17/22 01:30:00 PM,64.962,9.275,,,,,
95,06/17/22 01:45:00 PM,64.958,9.472,,,,,
96,06/17/22 02:00:00 PM,64.943,9.669,,,,,
97,06/17/22 02:15:00 PM,64.931,9.768,,,,,
98,06/17/22 02:30:00 PM,64.906,9.965,,,,,
99,06/17/22 02:45:00 PM,64.911,10.161,,,,,
100,06/17/22 03:00:00 PM,64.909,10.259,,,,,
101,06/17/22 03:15:00 PM,64.914,10.455,,,,,
102,06/17/22 03:30:00 PM,64.891,10.553,,,,,
103,06/17/22 03:45:00 PM,64.886,10.748,,,,,
104,06/17/22 04:00:00 PM,64.894,10.846,,,,,
105,06/17/22 04:15:00 PM,64.899,11.041,,,,,
106,06/17/22 04:30:00 PM,64.886,11.139,,,,,
107,06/17/22 04:45:00 PM,64.894,11.236,,,,,
108,06/17/22 05:00:00 PM,64.892,11.334,,,,,
109,06/17/22 05:15:00 PM,64.910,11.431,,,,,
110,06/17/22 05:30:00 PM,64.917,11.528,,,,,
111,06/17/22 05:45:00 PM,64.894,11.625,,,,,
112,06/17/22 06:00:00 PM,64.904,11.625,,,,,
113,06/17/22 06:15:00 PM,64.912,11.722,,,,,
114,06/17/22 06:30:00 PM,64.940,11.819,,,,,
115,06/17/22 06:45:00 PM,64.930,11.819,,,,,
116,06/17/22 07:00:00 PM,64.940,11.819,,,,,
117,06/17/22 07:15:00 PM,64.947,11.916,,,,,
118,06/17/22 07:30:00 PM,64.947,11.916,,,,,
119,06/17/22 07:45:00 PM,64.968,11.916,,,,,
120,06/17/22 08:00:00 PM,64.958,11.916,,,,,
121,06/17/22 08:15:00 PM,64.968,11.916,,,,,
122,06/17/22 08:30:00 PM,64.979,11.916,,,,,
123,06/17/22 08:45:00 PM,64.979,11.916,,,,,
124,06/17/22 09:00:00 PM,64.979,11.916,,,,,
125,06/17/22 09:15:00 PM,64.992,11.819,,,,,
126,06/17/22 09:30:00 PM,64.992,11.819,,,,,
127,06/17/22 09:45:00 PM,64.992,11.819,,,,,
128,06/17/22 10:00:00 PM,64.994,11.722,,,,,
129,06/17/22 10:15:00 PM,64.977,11.625,,,,,
130,06/17/22 10:30:00 PM,64.969,11.528,,,,,
131,06/17/22 10:45:00 PM,64.982,11.431,,,,,
132,06/17/22 11:00:00 PM,64.964,11.334,,,,,
133,06/17/22 11:15:00 PM,64.949,11.139,,,,,
134,06/17/22 11:30:00 PM,64.951,11.041,,,,,
135,06/17/22 11:45:00 PM,64.946,10.846,,,,,
136,06/18/22 12:00:00 AM,64.938,10.748,,,,,
137,06/18/22 12:15:00 AM,64.912,10.553,,,,,
138,06/18/22 12:30:00 AM,64.925,10.455,,,,,
139,06/18/22 12:45:00 AM,64.888,10.259,,,,,
140,06/18/22 01:00:00 AM,64.901,10.161,,,,,
141,06/18/22 01:15:00 AM,64.883,10.063,,,,,
142,06/18/22 01:30:00 AM,64.854,9.965,,,,,
143,06/18/22 01:45:00 AM,64.846,9.866,,,,,
144,06/18/22 02:00:00 AM,64.838,9.768,,,,,
145,06/18/22 02:15:00 AM,64.830,9.669,,,,,
146,06/18/22 02:30:00 AM,64.809,9.669,,,,,
147,06/18/22 02:45:00 AM,64.822,9.571,,,,,
148,06/18/22 03:00:00 AM,64.793,9.472,,,,,
149,06/18/22 03:15:00 AM,64.774,9.373,,,,,
150,06/18/22 03:30:00 AM,64.774,9.373,,,,,
151,06/18/22 03:45:00 AM,64.776,9.275,,,,,
152,06/18/22 04:00:00 AM,64.778,9.176,,,,,
153,06/18/22 04:15:00 AM,64.770,9.077,,,,,
154,06/18/22 04:30:00 AM,64.762,8.978,,,,,
155,06/18/22 04:45:00 AM,64.774,8.879,,,,,
156,06/18/22 05:00:00 AM,64.766,8.779,,,,,
157,06/18/22 05:15:00 AM,64.768,8.680,,,,,
158,06/18/22 05:30:00 AM,64.799,8.680,,,,,
159,06/18/22 05:45:00 AM,64.801,8.581,,,,,
160,06/18/22 06:00:00 AM,64.802,8.481,,,,,
161,06/18/22 06:15:00 AM,64.773,8.382,,,,,
162,06/18/22 06:30:00 AM,64.784,8.382,,,,,
163,06/18/22 06:45:00 AM,64.775,8.282,,,,,
164,06/18/22 07:00:00 AM,64.786,8.282,,,,,
165,06/18/22 07:15:00 AM,64.818,8.182,,,,,
166,06/18/22 07:30:00 AM,64.841,8.082,,,,,
167,06/18/22 07:45:00 AM,64.841,8.082,,,,,
168,06/18/22 08:00:00 AM,64.842,7.983,,,,,
169,06/18/22 08:15:00 AM,64.853,7.983,,,,,
170,06/18/22 08:30:00 AM,64.873,7.983,,,,,
171,06/18/22 08:45:00 AM,64.861,8.082,,,,,
172,06/18/22 09:00:00 AM,64.872,8.082,,,,,
173,06/18/22 09:15:00 AM,64.861,8.082,,,,,
174,06/18/22 09:30:00 AM,64.860,8.182,,,,,
175,06/18/22 09:45:00 AM,64.870,8.182,,,,,
176,06/18/22 10:00:00 AM,64.868,8.282,,,,,
177,06/18/22 10:15:00 AM,64.846,8.382,,,,,
178,06/18/22 10:30:00 AM,64.854,8.481,,,,,
179,06/18/22 10:45:00 AM,64.852,8.581,,,,,
180,06/18/22 11:00:00 AM,64.848,8.779,,,,,
181,06/18/22 11:15:00 AM,64.857,8.879,,,,,
182,06/18/22 11:30:00 AM,64.865,8.978,,,,,
183,06/18/22 11:45:00 AM,64.863,9.077,,,,,
184,06/18/22 12:00:00 PM,64.853,9.077,,,,,
185,06/18/22 12:15:00 PM,64.851,9.176,,,,,
186,06/18/22 12:30:00 PM,64.828,9.275,,,,,
187,06/18/22 12:45:00 PM,64.846,9.373,,,,,
188,06/18/22 01:00:00 PM,64.826,9.373,,,,,
189,06/18/22 01:15:00 PM,64.824,9.472,,,,,
190,06/18/22 01:30:00 PM,64.822,9.571,,,,,
191,06/18/22 01:45:00 PM,64.811,9.571,,,,,
192,06/18/22 02:00:00 PM,64.788,9.669,,,,,
193,06/18/22 02:15:00 PM,64.737,9.669,,,,,
