Serial_number:
2020442
Project ID:

Location:

LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/28/2022,11:45:21 am,0,6.3622,16.796
7/28/2022,12:00:21 pm,0,6.7500,7.898
7/28/2022,12:15:21 pm,0,6.7463,7.294
7/28/2022,12:30:21 pm,0,6.7448,7.161
7/28/2022,12:45:21 pm,0,6.7436,7.102
7/28/2022,01:00:21 pm,0,6.7434,7.066
7/28/2022,01:15:21 pm,0,6.7419,7.043
7/28/2022,01:30:21 pm,0,6.7415,7.025
7/28/2022,01:45:21 pm,0,6.7405,7.011
7/28/2022,02:00:21 pm,0,6.7395,7.001
7/28/2022,02:15:21 pm,0,6.7387,6.991
7/28/2022,02:30:21 pm,0,6.7364,6.983
7/28/2022,02:45:21 pm,0,6.7354,6.977
7/28/2022,03:00:21 pm,0,6.7336,6.972
7/28/2022,03:15:21 pm,0,6.7320,6.967
7/28/2022,03:30:21 pm,0,6.7308,6.963
7/28/2022,03:45:21 pm,0,6.7292,6.960
7/28/2022,04:00:21 pm,0,6.7287,6.958
7/28/2022,04:15:21 pm,0,6.7271,6.956
7/28/2022,04:30:21 pm,0,6.7270,6.954
7/28/2022,04:45:21 pm,0,6.7269,6.953
7/28/2022,05:00:21 pm,0,6.7262,6.952
7/28/2022,05:15:21 pm,0,6.7255,6.953
7/28/2022,05:30:21 pm,0,6.7260,6.953
7/28/2022,05:45:21 pm,0,6.7261,6.955
7/28/2022,06:00:21 pm,0,6.7268,6.956
7/28/2022,06:15:21 pm,0,6.7276,6.959
7/28/2022,06:30:21 pm,0,6.7290,6.962
7/28/2022,06:45:21 pm,0,6.7294,6.965
7/28/2022,07:00:21 pm,0,6.7312,6.968
7/28/2022,07:15:21 pm,0,6.7321,6.972
7/28/2022,07:30:21 pm,0,6.7331,6.977
7/28/2022,07:45:21 pm,0,6.7337,6.982
7/28/2022,08:00:21 pm,0,6.7346,6.987
7/28/2022,08:15:21 pm,0,6.7350,6.993
7/28/2022,08:30:21 pm,0,6.7361,7.000
7/28/2022,08:45:21 pm,0,6.7362,7.006
7/28/2022,09:00:21 pm,0,6.7375,7.013
7/28/2022,09:15:21 pm,0,6.7378,7.021
7/28/2022,09:30:21 pm,0,6.7392,7.029
7/28/2022,09:45:21 pm,0,6.7412,7.036
7/28/2022,10:00:21 pm,0,6.7410,7.044
7/28/2022,10:15:21 pm,0,6.7416,7.053
7/28/2022,10:30:21 pm,0,6.7412,7.062
7/28/2022,10:45:21 pm,0,6.7417,7.070
7/28/2022,11:00:21 pm,0,6.7417,7.080
7/28/2022,11:15:21 pm,0,6.7418,7.089
7/28/2022,11:30:21 pm,0,6.7404,7.098
7/28/2022,11:45:21 pm,0,6.7398,7.107
7/29/2022,12:00:21 am,0,6.7382,7.116
7/29/2022,12:15:21 am,0,6.7377,7.124
7/29/2022,12:30:21 am,0,6.7376,7.131
7/29/2022,12:45:21 am,0,6.7366,7.140
7/29/2022,01:00:21 am,0,6.7360,7.146
7/29/2022,01:15:21 am,0,6.7356,7.153
7/29/2022,01:30:21 am,0,6.7344,7.158
7/29/2022,01:45:21 am,0,6.7333,7.163
7/29/2022,02:00:21 am,0,6.7319,7.168
7/29/2022,02:15:21 am,0,6.7306,7.172
7/29/2022,02:30:21 am,0,6.7297,7.175
7/29/2022,02:45:21 am,0,6.7285,7.178
7/29/2022,03:00:21 am,0,6.7280,7.180
7/29/2022,03:15:21 am,0,6.7275,7.182
7/29/2022,03:30:21 am,0,6.7268,7.183
7/29/2022,03:45:21 am,0,6.7269,7.184
7/29/2022,04:00:21 am,0,6.7262,7.183
7/29/2022,04:15:21 am,0,6.7260,7.184
7/29/2022,04:30:21 am,0,6.7257,7.183
7/29/2022,04:45:21 am,0,6.7262,7.182
7/29/2022,05:00:21 am,0,6.7267,7.180
7/29/2022,05:15:21 am,0,6.7271,7.178
7/29/2022,05:30:21 am,0,6.7278,7.175
7/29/2022,05:45:21 am,0,6.7288,7.172
7/29/2022,06:00:21 am,0,6.7289,7.169
7/29/2022,06:15:21 am,0,6.7292,7.165
7/29/2022,06:30:21 am,0,6.7297,7.161
7/29/2022,06:45:21 am,0,6.7310,7.156
7/29/2022,07:00:21 am,0,6.7329,7.152
7/29/2022,07:15:21 am,0,6.7348,7.146
7/29/2022,07:30:21 am,0,6.7353,7.140
7/29/2022,07:45:21 am,0,6.7370,7.133
7/29/2022,08:00:21 am,0,6.7386,7.127
7/29/2022,08:15:21 am,0,6.7402,7.120
7/29/2022,08:30:21 am,0,6.7410,7.113
7/29/2022,08:45:21 am,0,6.7422,7.105
7/29/2022,09:00:21 am,0,6.7426,7.097
7/29/2022,09:15:21 am,0,6.7432,7.089
7/29/2022,09:30:21 am,0,6.7435,7.081
7/29/2022,09:45:21 am,0,6.7426,7.071
7/29/2022,10:00:21 am,0,6.7436,7.062
7/29/2022,10:15:21 am,0,6.7430,7.053
7/29/2022,10:30:21 am,0,6.7418,7.043
7/29/2022,10:45:21 am,0,6.7426,7.035
7/29/2022,11:00:21 am,0,6.7435,7.025
