Wetland,Location,Date,Time,ppm_NOTcorrected,Standard deviation in ppm per day per wetland,Average ppm,,
1,1,7/7/22,,NA,,,,
1,2,7/7/22,10:38-10:39,NA,,,,
1,3,7/7/22,10:52,238.8136,#DIV/0!,238.8136,,
1,1,7/14/22,10:18,376.8703,,,,
1,2,7/14/22,10:48,343.4576,,,,
1,3,7/14/22,10:58,328.0339,24.96428451,349.4539333,,
1,1,7/25/22,10:04-10:05,461.8475,,,,
1,2,7/25/22,10:18-10:19,381.339,,,,
1,3,7/25/22,10:32-10:33,382.2881,46.21005932,408.4915333,,
2,1,7/7/22,12:13,227.2034,,,,
2,2,7/7/22,12:27,224.2373,,,,
2,3,7/7/22,,NA,2.097349424,225.72035,,
2,1,7/14/22,10:36-37,261.3559,,,,
2,2,7/14/22,11:57-58,316.7627,,,,
2,3,7/14/22,12:10-11,342.0169,41.25911016,306.7118333,,
2,1,7/25/22,11:18-19,290.4068,,,,
2,2,7/25/22,11:33,330.9153,,,,
2,3,7/25/22,11:49,292.1864,22.89116731,304.5028333,,
3,1,7/7/22,,NA,,,,
3,2,7/7/22,13:26,263.2203,,,,
3,3,7/7/22,13:33,275.5085,8.689069549,269.3644,,
3,1,7/14/22,12:43,342.9115,,,,
3,2,7/14/22,13:01,401.7627,,,,
3,3,7/14/22,13:11,401.5932,33.92893157,382.0891333,,
3,1,7/25/22,12:10,487.6102,,,,
3,2,7/25/22,12:31,536.339,,,,
3,3,7/25/22,12:43,538.5543,28.7944,520.8345,,
4,1,6/29/22,11:58,588.9661,#DIV/0!,588.9661,,
4,1,7/15/22,12:58,593.6271,,,,
4,2,7/15/22,13:10,664.7288,,,,
4,3,7/15/22,13:26,653.7966,38.28692873,637.3841667,,
4,1,7/22/22,10:55,395.8305,,,,
4,2,7/22/22,11:12,492.6102,,,,
4,3,7/22/22,11:18,492.3559,55.80252062,460.2655333,,
5,1,6/28/22,10:38,756.207,,,,
5,2,6/28/22,10:59,681.6663,,,,
5,3,6/28/22,11:26,669.4746,46.9529245,702.4493,,
5,1,7/19/22,10:15,459.2203,#DIV/0!,459.2203,,
5,1,7/27/22,11:22,843.4407,,,,
5,2,7/27/22,11:42,694.8136,,,,
5,3,7/27/22,11:55,642.0169,104.4422118,726.7570667,,
6,1,6/30/22,12:15,442.4407,#DIV/0!,442.4407,,
6,1,7/11/22,13:46,430.7458,#DIV/0!,430.7458,,
6,1,7/19/22,12:42,394.0508,,,,
6,2,7/19/22,12:53,434.8983,,,,
6,3,7/19/22,13:12,393.1186,23.85697168,407.3559,,
7,1,6/30/22,10:57,728.7119,,,,
7,2,6/30/22,11:12,779.3898,,,,
7,3,6/30/22,11:25,253.8136,289.9215373,587.3051,,
7,1,7/11/22,12:15,268.9831,,,,
7,2,7/11/22,12:29,225.1695,,,,
7,3,7/11/22,12:47,240.8475,22.20001207,245.0000333,,
7,1,7/19/22,11:46,452.1017,,,,
7,2,7/19/22,12:01,491.1695,,,,
7,3,7/19/22,12:12,452.1864,22.53139386,465.1525333,,
8,1,7/5/22,9:52,9397.932,,,,
8,2,7/5/22,10:08,7530.305,,,,
8,3,7/5/22,10:19,3354.39,3094.368449,6760.875667,,
8,1,7/8/22,10:14,10517.98,,,,
8,2,7/8/22,10:30,7493.119,,,,
8,3,7/8/22,10:41,6369.29,2145.709067,8126.796333,,
8,1,7/18/22,10:16,5026.119,,,,
8,2,7/18/22,10:27,5242.559,,,,
8,3,7/18/22,10:42,4312.153,486.8690871,4860.277,,
9,1,7/5/22,11:04,4119.288,#DIV/0!,4119.288,,
9,1,7/8/22,11:13,2890.763,#DIV/0!,2890.763,,
9,1,7/18/22,9:54,3202.695,#DIV/0!,3202.695,,
10,1,7/5/22,11:32,1238.949,,,,
10,2,7/5/22,11:48,1888.932,,,,
10,3,7/5/22,12:00,2716.78,740.6972701,1948.220333,,
10,1,7/8/22,11:49,1371.407,,,,
10,2,7/8/22,12:01,2052.39,,,,
10,3,7/8/22,12:09,2159.169,427.3383846,1860.988667,,
10,1,7/18/22,11:02,1568.508,,,,
10,2,7/18/22,11:16,2633.475,,,,
10,3,7/18/22,11:28,2769.068,657.5059551,2323.683667,,
11,1,7/11/22,11:18,271.0169,#DIV/0!,271.0169,,
11,1,7/19/22,12:11,453.6271,#DIV/0!,453.6271,,
11,1,7/22/22,12:23,456.5085,#DIV/0!,456.5085,,
12,1,7/6/22,12:26,1154.627,,,,
12,2,7/6/22,12:46,1131.746,,,,
12,3,7/6/22,13:01,1113.78,20.47272464,1133.384333,,
12,1,7/22/22,9:38,834.7963,,,,
12,2,7/22/22,9:54,1625.712,,,,
12,3,7/22/22,10:09,1475.712,420.0834399,1312.073433,,
12,1,7/27/22,9:42,1459.441,,,,
12,2,7/27/22,10:04,1407.237,,,,
12,3,7/27/22,10:18,1408.034,29.91257393,1510.493623,,
6,1,10/15/22,11:27,274.1695,,,,
6,2,10/15/22,11:51,270.2203,,,,
7,1,10/15/22,12:21,386.7797,,,,
11,1,10/15/22,13:29,553.2373,,,,
12,1,10/16/22,13:30,1715.203,,,,
8,1,10/16/22,15:39,2569.492,,,,
10,1,10/16/22,16:10,1981.458,,,,
9,1,10/16/22,17:02,2562.881,,,,
4,1,10/16/22,18:04,993.4407,,,,
