Wetland,Date,Time,Flux
5,6/28/22,,0
5,6/28/22,,0.01
5,6/28/22,,0.04
5,6/28/22,,0.02
5,6/28/22,,-0.02
5,6/28/22,,-0.02
5,6/28/22,,0
5,6/28/22,,0.03
5,6/28/22,,0
5,6/28/22,,0.02
4,6/29/22,,0.15
4,6/29/22,,0.13
4,6/29/22,,0.17
4,6/29/22,,0.18
4,6/29/22,,0.17
4,6/29/22,,0.18
4,6/29/22,,0.11
6,6/30/22,,0.06
6,6/30/22,,0.08
6,6/30/22,,0.03
6,6/30/22,,0.09
6,6/30/22,,0.11
6,6/30/22,,0.12
6,6/30/22,,0.1
6,6/30/22,,0.07
7,6/30/22,,0.02
7,6/30/22,,0.01
7,6/30/22,,0.1
7,6/30/22,,0.05
7,6/30/22,,0.08
7,6/30/22,,0.03
7,6/30/22,,0.04
7,6/30/22,,0.02
7,6/30/22,,0.05
8,7/5/22,,2.02
8,7/5/22,,2.58
8,7/5/22,,1.26
8,7/5/22,,3.03
8,7/5/22,,1.38
8,7/5/22,,0.7
8,7/5/22,,0.72
8,7/5/22,,0.53
9,7/5/22,,0.93
9,7/5/22,,0.86
9,7/5/22,,0.63
9,7/5/22,,0.45
9,7/5/22,,0.42
10,7/5/22,,0.34
10,7/5/22,,0.37
10,7/5/22,,0.27
10,7/5/22,,0.18
10,7/5/22,,0.32
10,7/5/22,,0.3
12,7/6/22,,0.2
12,7/6/22,,0.15
12,7/6/22,,0.12
12,7/6/22,,0.11
12,7/6/22,,0.11
12,7/6/22,,0.08
12,7/6/22,,0.12
1,7/7/22,,0.01
1,7/7/22,,0.06
1,7/7/22,,0.03
1,7/7/22,,0.02
1,7/7/22,,0.03
1,7/7/22,,0.07
2,7/7/22,,0
2,7/7/22,,0.05
2,7/7/22,,0.03
2,7/7/22,,-0.02
2,7/7/22,,0.01
2,7/7/22,,0
2,7/7/22,,0
2,7/7/22,,0.03
3,7/7/22,,0
3,7/7/22,,-0.04
3,7/7/22,,0.03
3,7/7/22,,0
3,7/7/22,,0.05
3,7/7/22,,0.02
3,7/7/22,,-0.03
8,7/8/22,,1.2
8,7/8/22,,1.36
8,7/8/22,,1.55
8,7/8/22,,0.78
8,7/8/22,,0.59
8,7/8/22,,0.76
9,7/8/22,,0.53
9,7/8/22,,0.33
9,7/8/22,,0.25
9,7/8/22,,0.14
10,7/8/22,,0.23
10,7/8/22,,0.29
10,7/8/22,,0.26
10,7/8/22,,0.24
10,7/8/22,,0.27
10,7/8/22,,0.25
10,7/8/22,,0.24
6,7/11/22,,0.07
6,7/11/22,,0.09
6,7/11/22,,0.1
6,7/11/22,,0.04
6,7/11/22,,0.03
6,7/11/22,,0.08
11,7/11/22,,0.01
11,7/11/22,,0
11,7/11/22,,0.04
11,7/11/22,,0
11,7/11/22,,0
11,7/11/22,,0.02
11,7/11/22,,0.02
7,7/11/22,,0.09
7,7/11/22,,0
