Fecha,Valor
2022-06-01 0:00:00,0.3
2022-06-02 0:00:00,0.6
2022-06-03 0:00:00,7.4
2022-06-04 0:00:00,11.6
2022-06-05 0:00:00,1
2022-06-06 0:00:00,0
2022-06-07 0:00:00,0.5
2022-06-08 0:00:00,13.8
2022-06-09 0:00:00,0.3
2022-06-10 0:00:00,5.6
2022-06-11 0:00:00,7.5
2022-06-12 0:00:00,4.9
2022-06-13 0:00:00,1.9
2022-06-14 0:00:00,0.9
2022-06-15 0:00:00,5.2
2022-06-16 0:00:00,0.1
2022-06-17 0:00:00,0
2022-06-18 0:00:00,8.6
2022-06-19 0:00:00,4.7
2022-06-20 0:00:00,11.1
2022-06-21 0:00:00,0.8
2022-06-22 0:00:00,7
2022-06-23 0:00:00,17.2
2022-06-24 0:00:00,38.8
2022-06-25 0:00:00,31.8
2022-06-26 0:00:00,14.2
2022-06-27 0:00:00,0.4
2022-06-28 0:00:00,1.5
2022-06-29 0:00:00,0.7
2022-06-30 0:00:00,0.8
2022-07-01 0:00:00,4.5
2022-07-02 0:00:00,7.8
2022-07-03 0:00:00,39
2022-07-04 0:00:00,33
2022-07-05 0:00:00,19.6
2022-07-06 0:00:00,16.2
2022-07-07 0:00:00,0
2022-07-08 0:00:00,5.3
2022-07-09 0:00:00,12.5
2022-07-10 0:00:00,7.4
2022-07-11 0:00:00,3
2022-07-12 0:00:00,7.8
2022-07-13 0:00:00,14.2
2022-07-14 0:00:00,0.1
2022-07-15 0:00:00,0
2022-07-16 0:00:00,0
2022-07-17 0:00:00,6
2022-07-18 0:00:00,13.4
2022-07-19 0:00:00,3.2
2022-07-20 0:00:00,6.1
2022-07-21 0:00:00,6.6
2022-07-22 0:00:00,4
2022-07-23 0:00:00,0.7
2022-07-24 0:00:00,4.3
2022-07-25 0:00:00,2.3
2022-07-26 0:00:00,23.8
2022-07-27 0:00:00,8.3
2022-07-28 0:00:00,0.3
2022-07-29 0:00:00,0.1
2022-07-30 0:00:00,0
2022-07-31 0:00:00,0
2022-08-01 0:00:00,1.9
2022-08-02 0:00:00,3.5
2022-08-03 0:00:00,1
2022-08-04 0:00:00,7.5
2022-08-05 0:00:00,12.7
2022-08-06 0:00:00,4.4
2022-08-07 0:00:00,0.9
2022-08-08 0:00:00,3.9
2022-08-09 0:00:00,16.4
2022-08-10 0:00:00,47.6
2022-08-11 0:00:00,27.6
2022-08-12 0:00:00,0.8
2022-08-13 0:00:00,1.2
2022-08-14 0:00:00,1
2022-08-15 0:00:00,4
2022-08-16 0:00:00,1.8
2022-08-17 0:00:00,0.1
2022-08-18 0:00:00,0
2022-08-19 0:00:00,11.8
2022-08-20 0:00:00,12.5
2022-08-21 0:00:00,6.4
2022-08-22 0:00:00,0
2022-08-23 0:00:00,0
2022-08-24 0:00:00,0
2022-08-25 0:00:00,0.4
2022-08-26 0:00:00,0.3
2022-08-27 0:00:00,0.7
2022-08-28 0:00:00,4
2022-08-29 0:00:00,13.5
2022-08-30 0:00:00,5.7
2022-08-31 0:00:00,2.9
2022-09-01 0:00:00,0.3
2022-09-02 0:00:00,4.5
2022-09-03 0:00:00,5
2022-09-04 0:00:00,4.6
2022-09-05 0:00:00,10.9
2022-09-06 0:00:00,6.5
2022-09-07 0:00:00,6.8
2022-09-08 0:00:00,0.3
2022-09-09 0:00:00,0.3
2022-09-10 0:00:00,16.4
2022-09-11 0:00:00,9
2022-09-12 0:00:00,0
2022-09-13 0:00:00,0
